"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"1 juil. 2025 21:55:11 UTC","25114374902","Commande","402-6228995-6923561","TF3712_8","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","leforest","","62790","","14,12","2,83","0","0","0","0","0","0","0","0","-7,33","-0,14","0","9,48"
"2 juil. 2025 05:06:31 UTC","25114374902","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-2,86","0","-2,86"
"3 juil. 2025 17:31:01 UTC","25114374902","Remboursement","402-6228995-6923561","TF3712_8","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","leforest","","62790","","-14,12","-2,83","0","0","0","0","0","0","0","0","0","0","0","-16,95"
"3 juil. 2025 21:13:46 UTC","25114374902","Commande","407-8277458-9401147","TF3712_3","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","BUCQUOY","","62116","","16,95","0","0,67","0","0","0","-0,67","0","0","0","-7,33","-0,15","0","9,47"
"7 juil. 2025 21:38:02 UTC","25114374902","Commande","407-9559365-4694712","TF3712_5","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Vendeur","Désertines","","03630","","14,12","2,83","5,79","1,16","0","0","0","0","0","0","0","0","0","23,90"
"8 juil. 2025 10:06:48 UTC","25114374902","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-10,49","0","-10,49"
"9 juil. 2025 18:43:40 UTC","25114374902","Solde négatif","","","Cross-Account Debt Adjustment for NL","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-12,55","-12,55"
"10 juil. 2025 20:08:52 UTC","25114374902","Commande","171-3382340-6867560","TF3712_8","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Roquebrune sur argens","","83520","","16,95","0","0","0","0","0","0","0","0","0","-7,34","-0,15","0","9,46"
"11 juil. 2025 08:55:33 UTC","25114374902","Commande","403-2915974-9401958","TF3712_1","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Schepdaal","","1703","","14,01","2,94","0","0","0","0","0","0","0","0","-7,34","-0,15","0","9,46"
"12 juil. 2025 21:20:47 UTC","25130036182","Commande","403-0059176-9519547","TF3712_3","Zebra & Friends Couronne médiévale femme avec voile | Diadème en velours orné de pierres scintillantes | Accessoire pour carnaval, cosplay, Hallow","1","amazon.fr","Amazon","Manduel","","30129","","16,95","0","1,33","0","0","0","-1,33","0","0","0","-7,33","-0,14","0","9,48"
