"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.07.2025 22:03:46 UTC","25192808292","Bestellung","305-0594979-6820362","KNOC00117F","Knock Pest Control Insect Powder Blood Lice - Bestäubungspulver zur Bekämpfung von roten Vogelmilben (Blutläusen) in Geflügelbetrieben - Deltameth","1","amazon.de","Verkäufer","Bad Krozingen","","79189","","26,01","4,94","0","0","0","0","0","0","0","-5,61","0","0","0","25,34"
"31.07.2025 22:07:53 UTC","25192808292","Bestellung","028-3055262-7548308","DRES00202","Vplast Bahnbuchstaben ABCEFHKM 30 x 20 cm","1","amazon.de","Verkäufer","Braunichswalde","Thüringen","07580","","32,56","6,19","0","0","0","0","0","0","0","-7,03","0","0","0","31,72"
"31.07.2025 22:20:39 UTC","25192808292","Bestellung","306-1070252-3937104","DRAGR55800","Dräger X-plore 6300 Vollmaske aus EPDM mit Standard-Rd40-Anschluss Rd40| Maske geeignet für Farben, Lacke, Schreinerarbeiten, Landwirtschaft, BL-431","1","amazon.de","Verkäufer","Alzenau","","63755","","91,93","0","0","0","0","0","0","0","0","-16,69","0","0","0","75,24"
"31.07.2025 22:28:08 UTC","25192808292","Bestellung","028-1415230-7170756","GOLD1001","Holland Animal Care Excellent Gold Mint - Für eine beruhigende und pflegende Wirkung auf das Euter - In der Hängetube - Geeignet für Rinder - 1 Lit","1","amazon.de","Amazon","Bösel","Niedersachsen","26219","","19,29","3,66","0","0","0","0","0","0","0","-4,17","-4,14","0","0","14,64"
"31.07.2025 22:31:58 UTC","25192808292","Bestellung","305-2826772-2706766","COME042F","Dog Comets Earth - Ø14 cm - Hundespielzeug Ball - Hundeball - Ball Hund - Hüpfend - TPR-Gummi - Grün","1","amazon.de","Amazon","Emden","","26723","","14,56","2,77","1,12","0,21","0","0","-1,12","-0,21","0","-3,14","-4,72","0","0","9,47"
"31.07.2025 22:34:46 UTC","25192808292","Bestellung","306-4431061-0638725","INGE0011","Easy Drencher Ersatz Mundstück für 1,2 l","1","amazon.de","Verkäufer","Hüfingen","","78183","","20,97","3,98","0","0","0","0","0","0","0","-4,53","0","0","0","20,42"
"31.07.2025 23:58:51 UTC","25192808292","Bestellung","305-6882615-3222756","DOGM0755","Holland Animal Care Excellent Dog Mobility Plus - 750 Gramm - Hunde Vitamine - Gelenktabletten Hund - Zur Unterstützung der Sehnen, Knorpel, Bänder","1","amazon.de","Amazon","Ostelsheim","","75395","","40,15","7,63","0","0","0","0","0","0","0","-8,68","-4,44","0","0","34,66"
"01.08.2025 00:05:50 UTC","25192808292","Bestellung","305-5045209-7353966","HOOI018M02","Holland Animal Care Hay Slowfeeder Fun&Flex Ø 22 cm - Heuraufe Pferd - Geeignet für Weidetiere - Heunetz für Pferde - Gegen Stallverfall - Bis zu 1","1","amazon.de","Amazon","Endingen am Kaiserstuhl","","79346","","21,82","4,15","1,12","0,21","0","0","-1,12","-0,21","0","-4,72","-5,69","0","0","15,56"
"01.08.2025 06:26:52 UTC","25192808292","Bestellung","305-4789802-3314704","LIJM007","Knock Off Klebeplatte Insecto-O-Cutor Pluslight 30 auf 6 Stück","1","amazon.de","Verkäufer","Grainau","Deutschland","82491","","21,04","4,00","0","0","0","0","0","0","0","-4,55","0","0","0","20,49"
"01.08.2025 07:17:32 UTC","25192808292","Bestellung","302-2792299-1100332","DRAGR55800","Dräger X-plore 6300 Vollmaske aus EPDM mit Standard-Rd40-Anschluss Rd40| Maske geeignet für Farben, Lacke, Schreinerarbeiten, Landwirtschaft, BL-431","1","amazon.de","Verkäufer","Mahlstetten","","78601","","99,12","18,83","0","0","0","0","0","0","0","-21,41","0","0","0","96,54"
"01.08.2025 08:18:58 UTC","25192808292","Bestellung","302-9342893-2489924","PIST0075","Pistool voor Gel (Maxforce/Imidasect/Goliath) (PIST0075)","1","amazon.de","Amazon","München","Bayern","81549","","50,38","9,57","4,19","0,80","0","0","-4,19","-0,80","0","-10,88","-4,72","0","0","44,35"
"01.08.2025 12:43:03 UTC","25192808292","Bestellung","028-0358750-0360362","DRAGR57793","Dräger X-plore 3300 Lackiererset mit A2P3 Kombi-Filter - Halbmaske für Maler & Lackierer, zuverlässiger Schutz gegen Dämpfe, Gase und Fein-Staub,","1","amazon.de","Verkäufer","Neckarsulm","Baden-Württemberg","74172","","38,66","0","0","0","0","0","0","0","0","-7,02","0","0","0","31,64"
