"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"31 juil. 2025 22:26:18 UTC","25224279152","Commande","402-8705488-2562748","STIC53500","Sticky-Trap Colle à taons 3,5 litres","1","amazon.fr","Vendeur","Doullens","","80600","","55,50","11,10","0","0","0","0","0","0","0","-12,08","0","-0,24","0","54,28"
"31 juil. 2025 22:29:46 UTC","25224279152","Remboursement","402-8705488-2562748","STIC53500","Sticky-Trap Colle à taons 3,5 litres","1","amazon.fr","Vendeur","Doullens","","80600","","-55,50","-11,10","0","0","0","0","0","0","0","9,66","0","0,24","0","-56,70"
"31 juil. 2025 23:04:45 UTC","25224279152","Commande","402-1593577-1568348","BARR00250","Excellent Fournitures De Soins De Santé Barricade Moutons (Miasis), Répulsif par Immersion Et Pulvérisation","1","amazon.fr","Amazon","Origny En Thierache","","02550","","17,64","3,53","3,32","0,67","0","0","0","0","0","-3,84","-9,70","-0,27","0","11,35"
"31 juil. 2025 23:28:14 UTC","25224279152","Commande","404-3428211-3965143","DAZE0049","KERBL 323500 Taon-X Eco Piège à Taons pour Cheval","1","amazon.fr","Vendeur","Muncq-Nieurlet","","62890","","99,43","19,89","0","0","0","0","0","0","0","-21,66","0","-0,44","0","97,22"
"1 août 2025 13:25:20 UTC","25224279152","Commande","403-2800492-0371525","LIJM007","Knock Off Plaque de Colle Insecto-O-Cutor Pluslight 30 pour 6 pièces","1","amazon.fr","Vendeur","MERIGNAC","","33700","","30,79","6,16","0","0","0","0","0","0","0","-6,71","0","-0,14","0","30,10"
"1 août 2025 17:21:24 UTC","25224279152","Commingling VAT","20281398572","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 août 2025 18:40:10 UTC","25224279152","Commande","406-6691859-6174710","MAXI5075","Hofman Maximus Power Play Ball Jouet pour cheval Jaune 75 cm","1","amazon.fr","Amazon","Le Pecq","","78230","","24,61","4,92","0","0","0","0","0","0","0","-5,37","-13,12","-0,37","0","10,67"
"1 août 2025 19:21:10 UTC","25224279152","Commingling VAT","20281443292","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 août 2025 19:21:10 UTC","25224279152","Commingling VAT","20281443292","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4,43","-4,43"
"1 août 2025 22:14:08 UTC","25224279152","Commingling VAT","20281497042","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
