"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale"
"2 ago 2025 04:53:59 UTC","25224037952","Commissione di servizio","","","Costo della pubblicità","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-1,00","0","-1,00"
"7 ago 2025 08:36:16 UTC","25224037952","Costo di stoccaggio Logistica di Amazon","","","Tariffa di stoccaggio di Logistica di Amazon","","Amazon.it","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0,35","-0,35"
"9 ago 2025 22:48:26 UTC","25224037952","Ordine","407-7959930-6123528","HOOI018M06","Hay Slowfeeder Fun & Flex Ø 22 cm - Rete per fieno per cavalli - Slowfeeder per cavalli - Adatto per animali al pascolo - Contro l'umidità della sta","1","amazon.it","Amazon","suisio","bg","24040","","24,14","5,31","0","0","0","0","0","0","0","-5,35","-14,48","-0,11","0","9,51"
"9 ago 2025 23:22:33 UTC","25224037952","Ordine","405-2614630-0970733","HOOI018M04","Holland Animal Care Slowfeeder per fieno Fun&Flex Ø 22 cm - Mangiatoia per cavalli - Adatto agli animali da pascolo - Rete per fieno per cavalli - Fi","1","amazon.it","Amazon","Bernareggio","MB","20881","","23,73","5,22","0","0","0","0","0","0","0","-5,25","-14,80","-0,11","0","8,79"
"11 ago 2025 23:14:24 UTC","25314303832","Ordine","408-1011528-1899542","HOOI018M06","Hay Slowfeeder Fun & Flex Ø 22 cm - Rete per fieno per cavalli - Slowfeeder per cavalli - Adatto per animali al pascolo - Contro l'umidità della sta","1","amazon.it","Amazon","suisio","bg","24040","","24,14","5,31","0","0","0","0","0","0","0","-5,35","-14,49","-0,11","0","9,50"
"12 ago 2025 07:22:21 UTC","25314303832","Trasferimento","","","Per il conto che termina con: 319","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-34,54","-34,54"
"20 ago 2025 20:38:00 UTC","25314303832","Ordine","406-6265707-9761948","HMPH1000E","Excellent H.M.P. Horse Herbal Mix - Per un migliore accesso alle vie respiratorie fino ai polmoni - Adatto per cavalli - 1 kg","1","amazon.it","Amazon","fondi","LT","04022","","49,11","10,80","3,27","0,72","0","0","-3,27","-0,72","0","-10,87","-20,48","-0,21","0","28,35"
"25 ago 2025 21:44:05 UTC","25403283632","Ordine","402-7250720-6401101","HOOI018M02","Holland Animal Care Slowfeeder per Fieno Fun&Flex Ø 22 cm - Rastrelliera per fieno per cavalli - Adatto agli animali al pascolo - Rete per fieno per","1","amazon.it","Amazon","terni","tr","05100","","24,55","5,40","3,27","0,72","0","0","0","0","0","-5,44","-18,48","-0,11","0","9,91"
"26 ago 2025 07:27:06 UTC","25403283632","Trasferimento","","","Per il conto che termina con: 319","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-37,85","-37,85"
"28 ago 2025 13:17:44 UTC","25403283632","Ordine","408-8820849-7794745","HOOI018M04","Holland Animal Care Slowfeeder per fieno Fun&Flex Ø 22 cm - Mangiatoia per cavalli - Adatto agli animali da pascolo - Rete per fieno per cavalli - Fi","1","amazon.it","Amazon","Salerno","Salerno","84131","","23,73","5,22","0","0","0","0","0","0","0","-5,25","-14,80","-0,11","0","8,79"
"30 ago 2025 21:43:09 UTC","25403283632","Ordine","171-4777744-8076316","HOOI018M06","Hay Slowfeeder Fun & Flex Ø 22 cm - Rete per fieno per cavalli - Slowfeeder per cavalli - Adatto per animali al pascolo - Contro l'umidità della sta","1","amazon.it","Amazon","Lecco","LC","23900","","24,14","5,31","0","0","0","0","0","0","0","-5,35","-14,48","-0,11","0","9,51"
"30 ago 2025 22:02:55 UTC","25403283632","Ordine","404-5346141-2929907","PEST125047","Pestwest Professional Electronic Sticky trappole Boacha 850","1","amazon.it","Amazon","Laces","BZ","39021","","39,97","8,79","0","0","0","0","0","0","0","-8,85","0","-0,18","0","39,73"
