"Omvat transacties van Amazon Marketplace, Fulfillment by Amazon (FBA) en Amazon Webstore"
"Alle bedragen in EUR, tenzij anders vermeld"
"Definities:"
"Geïnde omzetbelasting: Inclusief omzetbelasting geïnd door kopers voor de verkoop van producten, verzending en cadeauverpakking."
"Verkoopkosten: Inclusief variabele afsluitkosten en verwijzingsvergoedingen."
"Overige transactiekosten: Inclusief terugvorderingen van verzendkosten, holdbackkosten voor verzending, kosten per item en inningskosten voor omzetbelasting."
"Overig: Inclusief transactiebedragen die niet aan bestellingen zijn gerelateerd. Raadpleeg voor meer informatie de kolommen 'Type' en 'Beschrijving' van ieder bestelnummer."
"datum/tijd","schikkings-ID","type","bestelnummer","sku","beschrijving","aantal","marketplace","fulfillment","bestelling stad","status bestelling","bestelling per post","verkoop van producten","Verzendtegoeden","kredietpunten cadeauverpakking","promotiekortingen","geïnde omzetbelasting","Belasting voor marketplace-facilitator","verkoopkosten","fba-vergoedingen","overige transactiekosten","overige","totaal"
"5 aug 2025 09:14:25 UTC","25271511592","Overboeking","","","Naar bankrekening die eindigt met: 319","","","","","","","0","0","0","0","0","0","0","0","0","-199,22","-199,22"
"6 aug 2025 16:11:22 UTC","25271511592","Bestelling","402-7845416-4991533","BIJE007","Bijenbekje 70mm RVS Stootvoegrooster (10 stuks)","1","amazon.nl","Verkoper","ZAANDAM","Nederland","1507","14,83","0","0","0","3,12","0","-2,82","0","0","0","15,13"
"6 aug 2025 22:11:49 UTC","25271511592","Bestelling","406-1346333-7571525","COME019","Dog Comets hondenballen bucket Ø6 cm - Hondenspeelgoed - 100% Natuurlijk Rubber - Stuiterend en Drijvend honden speelgoed - 6 Stuks","1","amazon.nl","Amazon","Hoogkarspel","","1616","25,58","0","0","0","5,37","0","-5,62","-4,19","0","0","21,14"
"6 aug 2025 22:45:54 UTC","25271511592","Terugbetaling","402-7845416-4991533","BIJE007","Bijenbekje 70mm RVS Stootvoegrooster (10 stuks)","1","amazon.nl","Verkoper","ZAANDAM","Nederland","1507","-14,83","0","0","0","-3,12","0","2,25","0","0","0","-15,70"
"12 aug 2025 20:16:12 UTC","25271511592","Bestelling","403-5856588-7948334","ANIM5050","Animology 5060180810122 ADD250 Hondenshampoo Dirty Dawg Droog","1","amazon.nl","Verkoper","Havelte","","7971","18,97","0","0","0","3,98","0","-4,16","0","0","0","18,79"
"13 aug 2025 18:54:40 UTC","25271511592","Bestelling","403-5862454-0962742","KNOC00118KDT","Knock Pest Control FlyNip Fly Nip Aas, vliegenafweer, effectief tot 60 dagen, milieuvriendelijk, 240 gram","1","amazon.nl","Verkoper","LEIDEN","","2311","23,10","0","0","0","4,85","0","-5,07","0","0","0","22,88"
"14 aug 2025 12:59:18 UTC","25271511592","Bestelling","407-4088609-5276336","KNOC00118L","Knock Pest Control - FlyNip Navulling - Navulverpakking voor de FlyNip vliegenval - Vliegenlokstof - Vliegenbestrijding - Lokt insecten en vliegen uit","1","amazon.nl","Verkoper","Haulerwijk","Friesland","8433","23,10","0","0","0","4,85","0","-5,07","0","0","0","22,88"
"15 aug 2025 07:55:02 UTC","25271511592","Bestelling","406-7277945-1249902","GLAN44986","Glandex Wipes 75","2","amazon.nl","Verkoper","Amsterdam","","1082","49,50","0","0","0","10,40","0","-10,87","0","0","0","49,03"
"15 aug 2025 22:15:50 UTC","25271511592","Bestelling","408-8078983-7206732","COME019","Dog Comets hondenballen bucket Ø6 cm - Hondenspeelgoed - 100% Natuurlijk Rubber - Stuiterend en Drijvend honden speelgoed - 6 Stuks","1","amazon.nl","Verkoper","Maastricht","Limburg","6218","25,58","0","0","0","5,37","0","-5,62","0","0","0","25,33"
"19 aug 2025 09:37:55 UTC","25355628702","Overboeking","","","Naar bankrekening die eindigt met: 319","","","","","","","0","0","0","0","0","0","0","0","0","-159,48","-159,48"
"19 aug 2025 11:17:08 UTC","25355628702","Bestelling","403-7957229-6420304","VLIE00405M","Kerbl Vliegendeken zebra inclusief nekdeel 195 cm","1","amazon.nl","Verkoper","ROTTERDAM","","3011","48,72","0","0","0","10,23","0","-10,69","0","0","0","48,26"
"20 aug 2025 22:14:11 UTC","25355628702","Bestelling","402-9471343-8382712","BIRC05011","Birchmeier Revolverafsluiter Dr. 5 accessoires voor de gezondheidsverzorging","1","amazon.nl","Verkoper","Wervershoof","Noord - Holland","1693","50,37","0","0","0","10,58","0","-11,06","0","0","0","49,89"
"20 aug 2025 23:10:29 UTC","25355628702","Bestelling","406-7578735-0039554","AFPH04070","AFP AFPH04070 Hunter Mallard Hondenspeelgoed","1","amazon.nl","Amazon","Zeddam","Gelderland","7038","21,45","2,47","0","-2,47","4,50","0","-4,71","-5,45","0","0","15,79"
"22 aug 2025 14:53:18 UTC","25355628702","Bestelling","171-1021681-5517930","YEOW061D","YEOWWW!, Aardbeien Catnip Cat Toy, 3 Count","1","amazon.nl","Verkoper","Amsterdam","Noord Holland","1025","24,75","0","0","0","5,20","0","-5,43","0","0","0","24,52"
"22 aug 2025 22:48:34 UTC","25355628702","Bestelling","407-0542093-9641934","VAL0007","Doorloopval rat, marter, bunzing 102x17x20cm","1","amazon.nl","Verkoper","Hattem","Gelderland","8051","59,46","0","0","0","12,49","0","-13,05","0","0","0","58,90"
"28 aug 2025 22:06:17 UTC","25355628702","Bestelling","171-2544289-5430757","GLAN44975","Glandex Poeder met zalmsmaak 114gr","1","amazon.nl","Verkoper","Amsterdam","","1061","39,63","0","0","0","8,32","0","-8,70","0","0","0","39,25"
"30 aug 2025 22:27:40 UTC","25355628702","Bestelling","407-1976843-0419552","COME055B","Dog Comets Orion (Dummy) Roze","1","amazon.nl","Verkoper","TILBURG","","5021","22,27","0","0","0","4,68","0","-4,89","0","0","0","22,06"
