"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"31 juil. 2025 23:55:26 UTC","25224506222","Remboursement","402-4928793-4287524","WKCMR621RD","Westinghouse Cafetiere Retro - Café filtre - Machine a Cafe Grain - Filtre réutilisable - 1,25 L - 10 tasses - 1000 W - Rouge","1","amazon.fr","Amazon","maulette","","78550","","-53,29","-10,66","0","0","0","0","0","0","0","9,29","0","0,23","0","-54,43"
"1 août 2025 22:10:59 UTC","25224506222","Commande","403-6328821-2081162","Bundel 1 - Wit","Westinghouse Retroline Set petit-déjeuner blanc, grille-pain et bouilloire, 1,7 l, filtre anti-calcaire et protection contre la surchauffe, grille-pa","1","amazon.fr","Vendeur","Paris","","75017","","109,12","21,83","0","0","0","0","0","0","0","-23,77","0","-0,47","0","106,71"
"1 août 2025 22:19:45 UTC","25224506222","Commande","404-7763100-8966763","WKCMR621WH","Westinghouse Cafetiere Retro - Café filtre - Machine a Cafe Grain - Filtre réutilisable - 1,25 L - 10 tasses - 1000 W - Beige","1","amazon.fr","Vendeur","Fecamp","","76400","","53,29","10,66","0","0","0","0","0","0","0","-11,60","0","-0,23","0","52,12"
"2 août 2025 05:43:49 UTC","25224506222","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-34,62","0","-34,62"
"2 août 2025 20:59:07 UTC","25224506222","Commande","406-1733607-8779545","WKCMR621WH","Westinghouse Cafetiere Retro - Café filtre - Machine a Cafe Grain - Filtre réutilisable - 1,25 L - 10 tasses - 1000 W - Beige","1","amazon.fr","Vendeur","Villepinte","","93420","","53,29","10,66","0","0","0","0","0","0","0","-11,61","0","-0,23","0","52,11"
"2 août 2025 21:45:42 UTC","25224506222","Commande","408-3885350-1250709","WCFP0009028MBB","Westinghouse Black Marble WHP128 Poêle à frire avec revêtement en marbre 3 couches en aluminium forgé, fond de poêle adapté à l'induction, poig","1","amazon.fr","Amazon","Herrlisheim","","68420","","36,62","7,33","0","0","0","0","0","0","0","-7,98","-18,88","-0,54","0","16,55"
"5 août 2025 22:10:24 UTC","25224506222","Commande","171-4787382-1637955","WKWKH148PK","Westinghouse Bouilloire Retro - 1,7 L - Bouilloire électrique - Sans BPA - Avec filtre anti-calcaire - 2200 W - Rose","1","amazon.fr","Amazon","Saint Hippolyte du FORT","-- veuillez choisir --","30170","","61,62","12,33","0","0","0","0","0","0","0","-13,41","-11,32","-0,48","0","48,74"
"6 août 2025 11:48:37 UTC","25224506222","Commande","402-2023485-6597123","WKWKH148BK","Westinghouse Retro Electric Kettle Noir 1,7 l WKWKH148BK","1","amazon.fr","Vendeur","Seyssinet Pariset","","38170","","64,96","12,99","0","0","0","0","0","0","0","-14,15","0","-0,28","0","63,52"
"6 août 2025 12:41:02 UTC","25224506222","Remboursement","403-6328821-2081162","Bundel 1 - Wit","Westinghouse Retroline Set petit-déjeuner blanc, grille-pain et bouilloire, 1,7 l, filtre anti-calcaire et protection contre la surchauffe, grille-pa","1","amazon.fr","Vendeur","Paris","","75017","","-109,12","-21,83","0","0","0","0","0","0","0","19,01","0","0,47","0","-111,47"
"6 août 2025 16:02:27 UTC","25224506222","Commande","402-5596793-7787545","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Sauteuse avec couvercle, 32 cm, pour induction et tous types de feux, poêle revêtue avec poignée, bord haut, passe","1","amazon.fr","Vendeur","ERCE PRES LIFFRE","","35340","","57,46","11,49","0","0","0","0","0","0","0","-12,51","0","-0,26","0","56,18"
