"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total"
"2 ago 2025 4:16:31 UTC","25224239942","Tarifa de prestación de servicio","","","Gastos de publicidad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-47,64","0","-47,64"
"7 ago 2025 1:01:37 UTC","25224239942","Tarifas de inventario de Logística de Amazon","","","Tarifa por almacenamiento de Logística de Amazon","","Amazon.es","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-1,99","-1,99"
"9 ago 2025 1:07:34 UTC","25224239942","Tarifas de inventario de Logística de Amazon","","","Capacity Reservation Fee","","Amazon.es","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9 ago 2025 21:44:14 UTC","25224239942","Pedido","171-7521674-1114736","BLCCC01028BK","Be Living Essential Olla con tapa de 28 cm - Revestimiento antiadherente cerámico - Apta para inducción - Sin PTFE ni PFOA - Blanco","1","amazon.es","Amazon","Pamplona","Navarra","31014","","47,07","9,88","1,65","0,35","0","0","-1,65","-0,35","0","-10,33","0","-0,20","0","46,42"
"12 ago 2025 8:46:41 UTC","25314485382","Transferir","","","A la cuenta acabada en 326","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-22,81","-22,81"
"13 ago 2025 23:50:50 UTC","25314485382","Pedido","406-0186880-4277941","WCFP0009030MBB","Westinghouse Black Marble WHP130 - Sartén antiadherente de mármol de 3 capas, de aluminio forjado, base apta para inducción, mango recubierto de si","1","amazon.es","Amazon","Madrid","Madrid","28028","","36,32","7,63","0","0","0","0","0","0","0","-7,98","0","-0,16","0","35,81"
"14 ago 2025 12:32:05 UTC","25314485382","Tarifas de inventario de Logística de Amazon","FfZOzZiva1","","Tarifa por devolución de inventario","","Amazon.es","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-8,11","-8,11"
"14 ago 2025 18:26:43 UTC","25314485382","Pedido","406-5562146-9113154","WKWKH148WH","Westinghouse Lighting WEKW1 - Hervidor de agua con indicador de temperatura y nivel de agua, con filtro de cal y protección contra sobrecalentamiento","1","amazon.es","Amazon","Alicante","San Juan Playa","03540","","56,16","11,79","0","0","0","0","0","0","0","-12,33","-6,03","-0,24","0","49,35"
"22 ago 2025 15:10:05 UTC","25314485382","Reembolso","405-7712658-2836312","WKTTB809RD","Tostadora Westinghouse Retro - 4 ranuras - Ranuras extra anchas - Rejilla para mantener el calor - 1750 W - Rojo","1","amazon.es","Amazon","El Padrón","Malaga","29689","","-80,12","-16,83","0","0","0","0","0","0","0","14,07","0","0,35","0","-82,53"
"22 ago 2025 23:11:40 UTC","25314485382","Pedido","405-7712658-2836312","WKTTB809RD","Tostadora Westinghouse Retro - 4 ranuras - Ranuras extra anchas - Rejilla para mantener el calor - 1750 W - Rojo","1","amazon.es","Amazon","El Padrón","Malaga","29689","","80,12","16,83","0","0","0","0","0","0","0","-17,59","-8,76","-0,35","0","70,25"
"26 ago 2025 8:27:16 UTC","25404332562","Transferir","","","A la cuenta acabada en 326","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-64,77","-64,77"
"28 ago 2025 21:18:07 UTC","25404332562","Pedido","171-1186056-2299531","WCFP0009020MBB","Westinghouse Sarten Antiadherente - 20 cm Sartén Inducción Vitroceramica - Mármol Negro","1","amazon.es","Vendedor","A Coruna","A Coruna","15008","","40,45","8,50","78,51","16,49","0","0","0","0","0","-26,12","0","-0,52","0","117,31"
