"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.07.2025 22:12:17 UTC","25224486452","Bestellung","306-4627436-4891523","WCCC0095L28BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 28 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Wadern","","66687","","44,50","8,45","0","0","0","0","0","0","0","-9,60","-5,97","0","0","37,38"
"31.07.2025 22:58:32 UTC","25224486452","Bestellung","305-8885081-4280307","WCFP0085020MBB","Westinghouse Wood Marble Bratpfanne 20cm, 3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Induktionsgeeignet, Silikonbeschichteter","1","amazon.de","Amazon","Schöneck","","61137","","25,17","4,78","1,68","0,32","0","0","-1,68","-0,32","0","-5,43","-5,02","0","0","19,50"
"31.07.2025 22:58:32 UTC","25224486452","Bestellung","305-8885081-4280307","WCCC0085028MBB","Westinghouse Kochtopf 28cm mit Glasdeckel, 3lagige MarmorAntihaftbeschichtung,aus geschmiedetem Aluminium, Genietete Griffe mit Silikonbeschichtung in","1","amazon.de","Amazon","Schöneck","","61137","","57,10","10,85","1,67","0,32","0","0","-1,67","-0,32","0","-12,33","-6,55","0","0","49,07"
"31.07.2025 23:04:45 UTC","25224486452","Bestellung","305-2158770-8994714","BLCCC01024BK","Be Living Essential Kochtopf mit Deckel Ø 24 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Ahrensburg","Schleswig-Holstein","22926","","29,37","5,58","0,90","0,17","0","0","-0,90","-0,17","0","-6,34","-5,76","0","0","22,85"
"31.07.2025 23:45:15 UTC","25224486452","Bestellung","304-4603751-1142732","WCCC0095L28BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 28 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Brandenburg an der Havel","Brandenburg","14772","","44,50","8,45","0","0","0","0","0","0","0","-9,61","-5,98","0","0","37,36"
"01.08.2025 00:07:15 UTC","25224486452","Erstattung","305-8885081-4280307","WCFP0085020MBB","Westinghouse Wood Marble Bratpfanne 20cm, 3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Induktionsgeeignet, Silikonbeschichteter","1","amazon.de","Amazon","Schöneck","","61137","","-25,17","-4,78","-1,68","-0,32","0","0","1,68","0,32","0","4,34","0","0","0","-25,61"
"01.08.2025 00:10:50 UTC","25224486452","Bestellung","306-1044765-7694763","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Wilhelmsburg","Niederösterreich","3150","","52,06","10,41","0","0","0","0","0","0","0","-11,24","-6,68","0","0","44,55"
"01.08.2025 02:16:50 UTC","25224486452","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-506,59","0","-506,59"
"01.08.2025 12:54:14 UTC","25224486452","Versand durch Amazon Lagergebühr","0sW8IwpeA+","","Versand durch Amazon Gebühr für Rücksendung","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-10,84","-10,84"
"01.08.2025 21:01:15 UTC","25224486452","Bestellung","306-5753083-3974743","WCCC0009L28MBB","Westinghouse Schmorpfanne 28cm mit Glasdeckel, 3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Induktionsgeeignet, Griffe mit Silik","1","amazon.de","Amazon","Greven","Nordrhein-Westfalen","48268","","41,97","7,98","0","0","0","0","0","0","0","-9,06","-5,98","0","0","34,91"
