"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale"
"2 ago 2025 05:40:54 UTC","25224523442","Commissione di servizio","","","Costo della pubblicità","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-59,30","0","-59,30"
"2 ago 2025 07:28:45 UTC","25224523442","Ordine","407-3079803-8131522","BLCCC01024WH","Be Living Essential Pentola con coperchio - Ø 24 cm - Rivestimento antiaderente in ceramica - Compatibile con induzione - Senza PTFE né PFOA - Bianc","1","amazon.it","Amazon","Roma","Roma","00124","","43,40","9,55","0","0","0","0","0","0","0","-9,61","-8,12","-0,20","0","35,02"
"2 ago 2025 22:15:50 UTC","25224523442","Ordine","404-0703999-5107551","WKHM250RD","Westinghouse - Frullatore a mano retrò con 6 livelli + funzione turbo, ideale come frusta e per impastare (set di 2), con timer, colore: rosso","1","amazon.it","Amazon","Piazza Armerina","Enna","94015","","54,06","11,89","0","0","0","0","0","0","0","-11,96","-7,12","-0,24","0","46,63"
"6 ago 2025 20:35:40 UTC","25224523442","Ordine","406-2226236-7209144","WCCC0095024OR","Westinghouse PERFORMANCE SERIES - Pentola grande, 24 cm, per piani cottura a induzione e tutti i piani cottura, grande pentola con manico e coperchio,","1","amazon.it","Amazon","MERANO","Bolzano","39012","","45,86","10,09","0","0","0","0","0","0","0","-10,15","-8,14","-0,21","0","37,45"
"7 ago 2025 01:50:39 UTC","25224523442","Costo di stoccaggio Logistica di Amazon","","","Tariffa di stoccaggio di Logistica di Amazon","","Amazon.it","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4,91","-4,91"
"7 ago 2025 20:28:49 UTC","25224523442","Ordine","402-5052526-2772352","WCSP0009020MBB","Westinghouse WCSP0009020MBB - Casseruola con coperchio in vetro, rivestimento antiaderente in marmo a 3 strati, in alluminio forgiato, adatta a induzi","1","amazon.it","Amazon","Cornate d adda","MB","20872","","40,94","9,01","0","0","0","0","0","0","0","-9,06","-16,00","-0,18","0","24,71"
"7 ago 2025 21:36:06 UTC","25224523442","Ordine","171-7467151-7112368","WCCC0095028SG","Westinghouse PERFORMANCE SERIES WCCC0095028SG - Pentola per cottura a induzione, adatta a tutti i piani cottura e al forno, incluso il supporto per ma","1","amazon.it","Amazon","Padova","Padova","35128","","67,99","14,96","0","0","0","0","0","0","0","-15,05","-8,77","-0,30","0","58,83"
"7 ago 2025 23:46:23 UTC","25224523442","Rimborso","402-5052526-2772352","WCSP0009020MBB","Westinghouse WCSP0009020MBB - Casseruola con coperchio in vetro, rivestimento antiaderente in marmo a 3 strati, in alluminio forgiato, adatta a induzi","1","amazon.it","Amazon","Cornate d adda","MB","20872","","-40,94","-9,01","0","0","0","0","0","0","0","7,24","0","0,18","0","-42,53"
"8 ago 2025 06:55:02 UTC","25224523442","Ordine","171-9526375-1697929","WCCC0095028BL","Westinghouse PERFORMANCE SERIES WCCC0095028BL - Pentola per cottura a induzione, adatta a tutti i piani cottura e al forno, incluso il supporto per ma","1","amazon.it","Amazon","Milano","MI","20146","","54,06","11,89","0","0","2,45","0,54","0","0","0","-11,97","-11,71","-0,24","0","45,02"
"9 ago 2025 01:11:18 UTC","25224523442","Costo di stoccaggio Logistica di Amazon","","","Capacity Reservation Fee","","Amazon.it","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
