"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.07.2025 22:49:20 UTC","25280592322","Bestellung","305-4905881-8957924","1835/4/152","Zebra & Friends Ritter Edward Kostüm - Größe 152 - Verkleidungsset - Ritterrüstung - Mittelalter Kleidung - Karnevalskostüm Kinder - Kinderkostü","1","amazon.de","Amazon","Stralsund","","18439","","16,76","3,19","0","0","0","0","0","0","0","0","-3,36","0","0","16,59"
"31.07.2025 23:18:54 UTC","25280592322","Bestellung","306-4910260-2117968","1835/1/128","Zebra & Friends Ritter Edward Kostüm - Größe 128 - Verkleidungsset - Ritterrüstung - Mittelalter Kleidung - Karnevalskostüm Kinder - Kinderkostü","1","amazon.de","Amazon","Staufen im Breisgau","Baden-Württemberg","79219","","19,95","0","0","0","0","0","0","0","0","0","-2,79","0","0","17,16"
"31.07.2025 23:23:32 UTC","25280592322","Bestellung","303-8102980-7899521","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Schifferstadt","Rheinland-Pfalz","67105","","7,65","0","0,99","0","0","0","-0,99","0","0","0","-2,89","0","0","4,76"
"01.08.2025 17:15:23 UTC","25280592322","Bestellung","028-1122517-7565165","TF3712_1","Zebra & Friends Tiara Rosalin Mittelalter - Für Kinder und Erwachsene - Haarband - Karnevalszubehör - Samt - Kopfbedeckung - Diadem - Haarreifen - S","1","amazon.de","Amazon","Ottenbach","","73113","","10,04","1,91","0","0","0","0","0","0","0","0","-3,32","0","0","8,63"
"01.08.2025 20:23:15 UTC","25280592322","Bestellung","303-3124534-3488365","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Rüdesheim Am Rhein","","65385","","7,65","0","0","0","0","0","0","0","0","0","-2,89","0","0","4,76"
"01.08.2025 21:08:16 UTC","25280592322","Bestellung","302-4660777-4987517","TF3712_1","Zebra & Friends Tiara Rosalin Mittelalter - Für Kinder und Erwachsene - Haarband - Karnevalszubehör - Samt - Kopfbedeckung - Diadem - Haarreifen - S","1","amazon.de","Amazon","Schaffhausen","Schaffhausen","82","MarketplaceFacilitator","10,04","0,81","2,16","0,17","0","0","-2,16","-0,17","-0,81","0","-2,36","0","0","7,68"
"01.08.2025 21:20:25 UTC","25280592322","Bestellung","302-0781586-6752323","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Meschede","","59872","","7,65","0","2,00","0","0","0","0","0","0","0","-4,86","0","0","4,79"
"01.08.2025 22:28:43 UTC","25280592322","Bestellung","306-1221873-2123509","3725/1","Zebra & Friends Mittelalter Baskenmütze - Kopfschmuck - Mütze Mittelalter - Barett - Mittelalterlicher Hut - Mittelalter Kopfbedeckung - Braun","1","amazon.de","Amazon","Kinding","","85125","","6,43","1,22","0","0","0","0","0","0","0","0","-2,89","0","0","4,76"
"01.08.2025 23:09:59 UTC","25280592322","Bestellung","306-3119865-9780337","1835/7/152","Zebra & Friends Ritter Edward Kostüm - Größe 152 - Verkleidungsset - Ritterrüstung - Mittelalter Kleidung - Karnevalskostüm Kinder - Kinderkostü","1","amazon.de","Amazon","Eppingen","Baden-Württemberg","75031","","16,76","3,19","0","0","0","0","0","0","0","0","-3,36","0","0","16,59"
"01.08.2025 23:13:18 UTC","25280592322","Bestellung","304-6942994-9411548","1835/1/128","Zebra & Friends Ritter Edward Kostüm - Größe 128 - Verkleidungsset - Ritterrüstung - Mittelalter Kleidung - Karnevalskostüm Kinder - Kinderkostü","1","amazon.de","Amazon","Denkendorf","Bayern","85095","","19,95","0","0","0","0","0","0","0","0","0","-2,80","0","0","17,15"
