"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"1 sept. 2025 14:42:49 UTC","25403267282","Commande","402-1306287-3183521","COWD000","Vache Drencher","1","amazon.fr","Vendeur","Dohem","","62380","","171,62","34,33","0","0","0","0","0","0","0","-37,37","0","-0,75","0","167,83"
"1 sept. 2025 20:54:18 UTC","25403267282","Commande","171-6753484-9033943","DRAGR55800","Dräger X-plore 6300 Masque de protection complet | Masque intégral avec raccord fileté standard Rd40 | Pour des travaux de construction, d'industri","1","amazon.fr","Amazon","Heuilley Sur Saone","","21270","","91,17","18,23","0","0","0","0","0","0","0","-19,85","-11,87","-0,63","0","77,05"
"2 sept. 2025 05:32:33 UTC","25403267282","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-144,40","0","-144,40"
"2 sept. 2025 16:49:33 UTC","25403267282","Commande","408-2628605-6497140","CHUC50933","Chuckit! Ultra Ball - Jouet en Caoutchouc pour Chien - Ultra rebondissante et Durable - avec Seau - Compatible avec Les lanceurs - Lot de 8 balles (M)","2","amazon.fr","Vendeur","Cluny","","71250","","84,64","16,92","0","0","0","0","0","0","0","-18,44","0","-0,36","0","82,76"
"2 sept. 2025 20:55:40 UTC","25403267282","Commande","408-5300378-2637934","FLYB5240","Flybuster Bait 240 grammes","2","amazon.fr","Amazon","magnac laval","","87190","","35,82","7,16","3,33","0,66","0","0","-3,33","-0,66","0","-7,79","-11,42","-0,38","0","23,39"
"2 sept. 2025 22:10:27 UTC","25403267282","Commande","407-2632468-4323555","LIJM007","Knock Off Plaque de Colle Insecto-O-Cutor Pluslight 30 pour 6 pièces","1","amazon.fr","Amazon","Le Bez","","81260","","13,12","2,62","3,32","0,67","0","0","0","0","0","-2,86","-11,58","-0,30","0","4,99"
"3 sept. 2025 06:25:17 UTC","25403267282","Commande","403-1607082-1159530","DRAGR57793","Dräger X-plore 3300 Masque de protection respiratoire adapté aux peintures solvants, époxy résine, poussières, demi-masque peinture avec 2 cartou","1","amazon.fr","Vendeur","Villé","","67220","","57,84","0","0","0","0","0","0","0","0","-10,51","0","0","0","47,33"
"3 sept. 2025 16:02:48 UTC","25403267282","Commande","403-6572721-0121964","JOLL036B","Jolly Pets Ballon de Foot de 15 cm","1","amazon.fr","Amazon","neuville sur escaut","","59293","","17,71","3,54","0","0","0","0","0","0","0","-3,86","-7,75","-0,22","0","9,42"
"3 sept. 2025 19:48:38 UTC","25403267282","Commingling VAT","20297445062","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3 sept. 2025 21:26:35 UTC","25403267282","Commande","402-4036244-5018730","LUGO01000","EXCELLENT Fournitures de soins de santé Lugol 1%","1","amazon.fr","Vendeur","Montbrison","","42600","","39,96","7,99","0","0","0","0","0","0","0","-8,70","0","-0,17","0","39,08"
