"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total"
"2 sept 2025 0:15:50 UTC","25402855512","Pedido","171-1559596-2526753","LEVE001000","Holland Animal Care Excellent Aceite de hígado 1 litro - Cuidado del Caballo - para apoyar la Resistencia, el Crecimiento y el Desarrollo y el Cuidad","1","amazon.es","Amazon","Plasencia","Caceres","10600","","22,27","4,68","0","0","0","0","0","0","0","-4,89","-5,10","-0,10","0","16,86"
"3 sept 2025 19:48:40 UTC","25402855512","IVA de inventario combinado","20297445062","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4,65","-4,65"
"5 sept 2025 20:13:10 UTC","25402855512","Pedido","402-8358394-8504349","EQUI0007","Excellent Equi Omega Boost - Para apoyar la conservación de una piel sana y restaurar el brillo del pelaje - Adecuado para caballos - 1 litro","1","amazon.es","Amazon","Denia","Alicante","03700","","20,62","4,33","0","0","0","0","0","0","0","-4,52","-5,09","-0,08","0","15,26"
"7 sept 2025 8:07:16 UTC","25402855512","Tarifas de inventario de Logística de Amazon","","","Tarifa por almacenamiento de Logística de Amazon","","Amazon.es","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-21,45","-21,45"
"8 sept 2025 22:17:55 UTC","25490629642","Pedido","171-1080628-8154757","HORS01002EE","Caballo electrolitos Poeder pone B2 Emmer 2,5 kg","1","amazon.es","Vendedor","La Alcaidesa","San Roque","11316","","45,15","9,48","0","0","0","0","0","0","0","-9,91","0","-0,19","0","44,53"
"9 sept 2025 7:21:44 UTC","25490629642","Transferir","","","A la cuenta acabada en 319","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-266,80","-266,80"
"10 sept 2025 23:08:51 UTC","25490629642","Pedido","404-6732009-7977913","KNOC001227","Knock Pest Control Fly Tape - 700 metros - Repelente de moscas - Cinta adhesiva para atrapamoscas - sin veneno - con adhesivo y atrayente - Amarillo -","1","amazon.es","Amazon","Orio","Guipuzcoa","20810","","34,67","0","0","0","0","0","0","0","0","-7,62","0","-0,16","0","26,89"
"15 sept 2025 8:21:48 UTC","25490629642","Pedido","407-9756219-7008329","RAXI016","Raxit Door Seal 5 Meter","1","amazon.es","Vendedor","VIC","BARCELONA","08500","","137,26","0","0","0","0","0","0","0","0","-26,12","0","-0,52","0","110,62"
"16 sept 2025 22:52:19 UTC","25490629642","Pedido","408-6460642-2364332","DRAGR55800","Dräger X-plore 6300 Máscara completa con conexión roscada estándar Rd40 | Para la construcción y la industria","1","amazon.es","Amazon","la cumbre","caceres","10270","","97,48","20,47","0","0","0","0","0","0","0","-21,40","-6,69","-0,42","0","89,44"
"17 sept 2025 22:56:02 UTC","25490629642","Pedido","405-2567283-4576315","KNOC001227","Knock Pest Control Fly Tape - 700 metros - Repelente de moscas - Cinta adhesiva para atrapamoscas - sin veneno - con adhesivo y atrayente - Amarillo -","1","amazon.es","Amazon","Pueblo nuevo de guadiaro","Cádiz","11311","","34,67","7,28","0","0","0","0","0","0","0","-7,61","0","-0,15","0","34,19"
