"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.09.2025 07:17:56 UTC","25367375072","Bestellung","303-0536263-6508301","COME035A","Dog Comets Asteroid Throwing Stick - 24 cm - Hundespielzeug - Apportierspielzeug - Wasserfest - Zahnen - S - Interaktives Hundespielzeug - Hundespielz","1","amazon.de","Verkäufer","Ludwigshafen Am Rhein","","67059","","21,81","0","0","0","0","0","0","0","0","-4,71","0","0","0","17,10"
"01.09.2025 07:28:46 UTC","25367375072","Bestellung","302-3328118-1410760","CHUC247401","Schmeiß es! Pro 26XL Dog Ball Launcher Fetch Hundespielzeug Ballwerfer mit XL-Tennisball, 66 cm","1","amazon.de","Amazon","Miesterhorst","","39649","","21,81","4,14","0","0","0","0","0","0","0","-4,70","-6,29","0","0","14,96"
"01.09.2025 07:47:39 UTC","25367375072","Erstattung","302-3328118-1410760","CHUC247401","Schmeiß es! Pro 26XL Dog Ball Launcher Fetch Hundespielzeug Ballwerfer mit XL-Tennisball, 66 cm","1","amazon.de","Amazon","Miesterhorst","","39649","","-21,81","-4,14","0","0","0","0","0","0","0","3,76","0","0","0","-22,19"
"01.09.2025 08:12:53 UTC","25367375072","Bestellung","306-9501148-3922736","AQUA0001","h2go AquaTrans Wassersack 80 Liter","2","amazon.de","Verkäufer","Ebeleben","Thüringen","99713","","29,84","0","0","0","0","0","0","0","0","-6,44","0","0","0","23,40"
"01.09.2025 12:05:01 UTC","25367375072","Bestellung","306-2481772-6989965","DRAGR57793","Dräger X-plore 3300 Lackiererset mit A2P3 Kombi-Filter - Halbmaske für Maler & Lackierer, zuverlässiger Schutz gegen Dämpfe, Gase und Fein-Staub,","1","amazon.de","Amazon","Iphofen - Mönchsondheim","","97346","","38,66","7,35","0","0","0","0","0","0","0","-8,35","-5,02","0","0","32,64"
"01.09.2025 16:41:04 UTC","25367375072","Bestellung","028-3338412-5943516","HOOI018M06","Holland Animal Care Hay Slowfeeder Fun&Flex Ø 22 cm - Heuraufe Pferd - Geeignet für Weidetiere - Heunetz für Pferde - Gegen Stallverfall - Bis zu 1","1","amazon.de","Amazon","Glückstadt","","25348","","21,83","4,15","0","0","0","0","0","0","0","-4,72","-5,70","0","0","15,56"
"01.09.2025 16:50:27 UTC","25367375072","Bestellung","306-3718253-4649966","DRAGR55800","Dräger X-plore 6300 Vollmaske aus EPDM mit Standard-Rd40-Anschluss Rd40| Maske geeignet für Farben, Lacke, Schreinerarbeiten, Landwirtschaft, BL-431","3","amazon.de","Verkäufer","Salzbergen","","48499","","275,79","52,41","0","0","0","0","0","0","0","-59,57","0","0","0","268,63"
"01.09.2025 17:01:16 UTC","25367375072","Bestellung","305-8842999-8439555","GOOE013D","GOO EEZ Lites - Schwarz (M)","1","amazon.de","Verkäufer","Neu-Anspach","","61267","","26,97","5,12","0","0","0","0","0","0","0","-5,82","0","0","0","26,27"
"01.09.2025 17:08:46 UTC","25367375072","Erstattung","306-6083768-3353943","ROYA0028","Royal Dry Bademantel Hund XS - Rückenlänge 30-35 cm - Hundehandtuch - Mikrofase - Hundebademantel kleine Hunde - Schnell Trocknendes mit Klettversch","1","amazon.de","Amazon","Westerburg","Rheinland-Pfalz","56457","","-15,60","-2,96","0","0","0","0","0","0","0","2,68","0","0","0","-15,88"
"01.09.2025 17:19:40 UTC","25367375072","Bestellung","306-6083768-3353943","ROYA0028","Royal Dry Bademantel Hund XS - Rückenlänge 30-35 cm - Hundehandtuch - Mikrofase - Hundebademantel kleine Hunde - Schnell Trocknendes mit Klettversch","1","amazon.de","Amazon","Westerburg","Rheinland-Pfalz","56457","","15,60","2,96","0","0","0","0","0","0","0","-3,36","-4,13","0","0","11,07"
