"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.09.2025 14:49:45 UTC","25403501822","Versand durch Amazon Lagergebühr","holRhq5R3g","","Versand durch Amazon Gebühr für Rücksendung","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-9,88","-9,88"
"01.09.2025 14:49:55 UTC","25403501822","Versand durch Amazon Lagergebühr","holRhq5R3g","","Versand durch Amazon Gebühr für Rücksendung","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2,49","-2,49"
"01.09.2025 16:58:25 UTC","25403501822","Bestellung","305-3196261-3665142","BLCCC01028GR","Be Living Essential Kochtopf mit Deckel, Ø 28 cm, Bratpfanne, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Grau","1","amazon.de","Amazon","Eisenach","","99817","","40,29","7,66","0","0","0","0","0","0","0","-8,70","-5,98","0","0","33,27"
"01.09.2025 17:47:06 UTC","25403501822","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-503,38","0","-503,38"
"01.09.2025 20:29:20 UTC","25403501822","Erstattung","302-7307823-0714746","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Grieskirchen","","4710","","-62,14","-12,43","0","0","0","0","0","0","0","10,73","0","0","0","-63,84"
"01.09.2025 22:13:13 UTC","25403501822","Bestellung","028-0570828-3049110","BLCSET2001BK","Be Living Delight Pfannenset 2-teilig, Bratpfanne 24 & 28 cm, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Düsseldorf","","40477","","33,57","6,38","0","0","0","0","0","0","0","-7,25","-6,32","0","0","26,38"
"02.09.2025 00:18:19 UTC","25403501822","Bestellung","302-7307823-0714746","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Grieskirchen","","4710","","62,14","12,43","0","0","0","0","0","0","0","-13,42","-6,68","0","0","54,47"
"02.09.2025 03:09:43 UTC","25403501822","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-19,71","0","-19,71"
"02.09.2025 12:07:11 UTC","25403501822","Bestellung","304-6956172-6641922","BLCST02028BK","Be Living Delight Schmorpfanne mit Deckel - Ø 28 cm, Sauté Pan, Hoher Rand, Non Stick Keramik, Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Verkäufer","Calbe (saale)","","39240","","25,17","4,78","0","0","0","0","0","0","0","-5,43","0","0","0","24,52"
"02.09.2025 15:23:35 UTC","25403501822","Bestellung","306-4070955-7343509","BLCSET2003BK","Be Living Delight Pfannenset 4-teilig, Bratpfanne 20/24/28 cm + Wokpfanne 28 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa,","1","amazon.de","Amazon","Wuppertal","","42111","","62,98","11,97","0","0","0","0","0","0","0","-13,61","-7,73","0","0","53,61"
"02.09.2025 15:26:52 UTC","25403501822","Bestellung","305-8352941-6525949","BLCSET2003BK","Be Living Delight Pfannenset 4-teilig, Bratpfanne 20/24/28 cm + Wokpfanne 28 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa,","1","amazon.de","Amazon","Lübben","","15907","","62,98","11,97","0","0","0","0","0","0","0","-13,60","-7,73","0","0","53,62"
"02.09.2025 15:27:31 UTC","25403501822","Bestellung","305-9880980-0065962","BLCSET2003BK","Be Living Delight Pfannenset 4-teilig, Bratpfanne 20/24/28 cm + Wokpfanne 28 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa,","1","amazon.de","Amazon","Greiz","","07973","","62,98","11,97","0","0","0","0","0","0","0","-13,60","-7,74","0","0","53,61"
"02.09.2025 15:57:04 UTC","25403501822","Bestellung","028-9045206-3310741","WCBA0009002MBB","Westinghouse Black Marble Auflaufform/Bräter 30cm, 3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Backofenfest, Handgerecht gefor","1","amazon.de","Amazon","Königs Wusterhausen","","15711","","28,53","5,42","0","0","0","0","0","0","0","-6,16","-5,02","0","0","22,77"
"02.09.2025 16:30:00 UTC","25403501822","Bestellung","304-8060797-0361109","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Berlin","","12685","","62,14","11,81","0","0","0","0","0","0","0","-13,42","-6,68","0","0","53,85"
"02.09.2025 16:37:12 UTC","25403501822","Bestellung","303-2068570-2119561","BLCST02028BK","Be Living Delight Schmorpfanne mit Deckel - Ø 28 cm, Sauté Pan, Hoher Rand, Non Stick Keramik, Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Verkäufer","Dannenfels","","67814","","25,17","4,78","0","0","0","0","0","0","0","-5,43","0","0","0","24,52"
"02.09.2025 19:04:45 UTC","25403501822","Bestellung","303-5733760-5578718","BLCCC01028WH","Be Living Essential Kochtopf mit Deckel - Ø 28 cm, Geeignet für alle Herdarten, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Weiß","1","amazon.de","Amazon","Cottbus","","03042","","40,29","7,66","0,84","0,16","0","0","-0,84","-0,16","0","-8,70","-5,97","0","0","33,28"
"02.09.2025 20:29:55 UTC","25403501822","Bestellung","304-6180350-4056318","WCCC0009024MBB","Westinghouse Kochtopf 24cm mit Glasdeckel, 3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Induktionsgeeignet, Griff mit Silikonbes","1","amazon.de","Verkäufer","Marsberg","Nordrhein-Westfalen","34431","","44,50","8,45","0","0","0","0","0","0","0","-9,60","0","0","0","43,35"
"02.09.2025 20:41:29 UTC","25403501822","Erstattung","302-7765754-7005157","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Mödling","","2340","","-52,06","0","0","0","0","0","0","0","0","8,99","0","0","0","-43,07"
"02.09.2025 21:32:17 UTC","25403501822","Bestellung","304-5402796-9882763","BLCCC01024BK","Be Living Essential Kochtopf mit Deckel Ø 24 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Lienz","Tirol","9900","","33,57","6,71","0","0","0","0","0","0","0","-7,24","-5,76","0","0","27,28"
"02.09.2025 21:44:26 UTC","25403501822","Bestellung","028-5138539-2113922","BLCST02028BK","Be Living Delight Schmorpfanne mit Deckel - Ø 28 cm, Sauté Pan, Hoher Rand, Non Stick Keramik, Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Verkäufer","Fernwald","","35463","","25,17","4,78","0","0","0","0","0","0","0","-5,43","0","0","0","24,52"
"02.09.2025 23:04:36 UTC","25403501822","Bestellung","302-9146847-9981969","WCFP0009020MBB","Westinghouse Black Marble Bratpfanne 20cm, 3lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Induktionsgeeigneter Pfannenboden, Siliko","1","amazon.de","Verkäufer","Backnang","Baden-Württemberg","71522","","26,85","5,10","0","0","0","0","0","0","0","-5,80","0","0","0","26,15"
"02.09.2025 23:08:48 UTC","25403501822","Bestellung","028-1455432-5813107","WCCC0095L32BK","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Heppenheim","","64646","","62,14","11,81","0","0","0","0","0","0","0","-13,42","-6,04","0","0","54,49"
"02.09.2025 23:59:37 UTC","25403501822","Bestellung","303-9887295-2581161","BLCSET2003BK","Be Living Delight Pfannenset 4-teilig, Bratpfanne 20/24/28 cm + Wokpfanne 28 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa,","1","amazon.de","Amazon","Neukirchen beim Heiligen Blut","","93453","","62,98","11,97","0","0","0","0","0","0","0","-13,61","-7,73","0","0","53,61"
"03.09.2025 09:49:22 UTC","25403501822","Bestellung","304-2171639-9063555","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Kirchentellinsfurt","","72138","","52,06","9,89","0","0","0","0","0","0","0","-11,24","-6,68","0","0","44,03"
"03.09.2025 15:42:27 UTC","25403501822","Bestellung","305-3421402-6034722","BLCSET2001BK","Be Living Delight Pfannenset 2-teilig, Bratpfanne 24 & 28 cm, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Bocholt","","46399","","29,37","5,58","0","0","0","0","0","0","0","-6,34","-6,33","0","0","22,28"
"03.09.2025 16:22:52 UTC","25403501822","Bestellung","305-5340516-4873161","BLCSET2002BK","Be Living Delight Pfannenset 3-teilig, Bratpfanne 20/24/28 cm, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Bünde","","32257","","41,97","7,98","0","0","0","0","0","0","0","-9,06","-5,77","0","0","35,12"
"03.09.2025 17:53:25 UTC","25403501822","Bestellung","302-6635698-7701104","WCCC0095L28BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 28 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Köln","","50935","","52,90","10,05","0","0","0","0","0","0","0","-11,43","-5,97","0","0","45,55"
"03.09.2025 18:33:15 UTC","25403501822","Erstattung","304-5402796-9882763","BLCCC01024BK","Be Living Essential Kochtopf mit Deckel Ø 24 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Lienz","Tirol","9900","","-33,57","-6,71","0","0","0","0","0","0","0","5,79","0","0","0","-34,49"
"03.09.2025 18:34:22 UTC","25403501822","Erstattung","028-7814590-9890768","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Emmingen-liptingen","","78576","","-62,14","-11,81","0","0","0","0","0","0","0","10,73","0","0","0","-63,22"
"03.09.2025 19:11:18 UTC","25403501822","Bestellung","304-6350034-0517157","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Deudesfeld","","54570","","62,14","11,81","0","0","0","0","0","0","0","-13,42","-6,68","0","0","53,85"
"03.09.2025 19:48:31 UTC","25403501822","Bestellung","028-7814590-9890768","WCCC0095L32BL","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Emmingen-liptingen","","78576","","62,14","11,81","0","0","0","0","0","0","0","-13,42","-6,68","0","0","53,85"
"03.09.2025 20:19:11 UTC","25403501822","Bestellung","305-6310972-5473150","WCFP0009030MBB","Westinghouse Black Marble Bratpfanne 30cm,3lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium,Induktionsgeeigneter Pfannenboden,Silikonbe","1","amazon.de","Amazon","Hamburg","","22589","","34,41","6,54","0","0","0","0","0","0","0","-7,42","-6,64","0","0","26,89"
"03.09.2025 20:29:57 UTC","25403501822","Bestellung","306-5534450-9115561","BLCCC01024BK","Be Living Essential Kochtopf mit Deckel Ø 24 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Magdeburg","","39116","","33,57","6,38","0","0","0","0","0","0","0","-7,25","-5,76","0","0","26,94"
"03.09.2025 20:54:17 UTC","25403501822","Bestellung","305-5337618-5537903","BLCST02028BK","Be Living Delight Schmorpfanne mit Deckel - Ø 28 cm, Sauté Pan, Hoher Rand, Non Stick Keramik, Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Verkäufer","Herdorf","","57562","","25,17","4,78","0","0","0","0","0","0","0","-5,43","0","0","0","24,52"
