"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"2 sept. 2025 04:56:04 UTC","25403657092","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-49,03","0","-49,03"
"2 sept. 2025 20:10:50 UTC","25403657092","Commande","406-7907326-7849942","WCCC0085024MBB","Westinghouse Faitout 24 cm avec couvercle en verre, revêtement antiadhésif en marbre à 3 couches, en aluminium forgé, poignées rivetées avec rev","1","amazon.fr","Amazon","Gonfreville L Orcher","","76700","","53,29","10,66","0","0","0","0","0","0","0","-11,60","-11,33","-0,46","0","40,56"
"2 sept. 2025 23:31:33 UTC","25403657092","Commande","405-2605138-7033951","WCCW0085030MBB","Westinghouse Wood WHP231 Marble Wok 30 cm avec revêtement anti-adhésif en marbre 3 couches, en aluminium forgé, compatible avec induction, poignée","1","amazon.fr","Amazon","Rocbaron","","83136","","53,29","10,66","0","0","0","0","0","0","0","-11,61","-24,26","-0,71","0","27,37"
"2 sept. 2025 23:33:26 UTC","25403657092","Remboursement","405-8862380-7955555","BLCCC01024WH","BE Living Essential Faitout avec couvercle - Ø 24 cm - Revêtement antiadhésif en céramique - Compatible induction - Sans PTFE ni PFOA - Blanc","1","amazon.fr","Amazon","lanslevillard","","73480","","-45,79","-9,16","-1,11","-0,22","0","0","1,11","0,22","0","7,98","0","0,20","0","-46,77"
"2 sept. 2025 23:42:09 UTC","25403657092","Commande","405-8862380-7955555","BLCCC01024WH","BE Living Essential Faitout avec couvercle - Ø 24 cm - Revêtement antiadhésif en céramique - Compatible induction - Sans PTFE ni PFOA - Blanc","1","amazon.fr","Amazon","lanslevillard","","73480","","45,79","9,16","1,11","0,22","0","0","-1,11","-0,22","0","-9,98","0","-0,20","0","44,77"
"2 sept. 2025 23:47:03 UTC","25403657092","Commande","404-2464789-0914707","WCCC0095L32BK","Westinghouse PERFORMANCE SERIES Sauteuse avec couvercle, 32 cm, pour induction et tous types de feux, poêle revêtue avec poignée, bord haut, passe","1","amazon.fr","Amazon","Prunay","","51360","","68,29","13,66","0,67","0,13","0","0","-0,67","-0,13","0","-14,87","0","-0,30","0","66,78"
"4 sept. 2025 08:46:50 UTC","25403657092","Commande","404-2564271-1594712","Bundel 2 - Zwart","Westinghouse Retroline Set Petit-Déjeuner Noir, Grille-Pain à Quatre Fentes et Bouilloire 1,7 L, Filtre Anti-Calcaire, Protection Contre la Surchauf","1","amazon.fr","Vendeur","Champagne et Fontaine","","24320","","122,46","24,49","0","0","0","0","0","0","0","-26,67","0","-0,53","0","119,75"
"4 sept. 2025 11:19:23 UTC","25403657092","Commande","405-7011102-5464309","WCCC0085L28MBB","Westinghouse Sauteuse à induction - 28 cm - Avec couvercle - Édition spéciale","1","amazon.fr","Vendeur","Rocbaron","","83136","","56,62","11,33","0","0","0","0","0","0","0","-12,33","0","-0,24","0","55,38"
"4 sept. 2025 11:19:23 UTC","25403657092","Commande","405-7011102-5464309","WCFP0085030MBB","Westinghouse Wood Marble WHP230 Poêle à frire 3 couches en aluminium forgé, compatible induction, poignée revêtue de silicone aspect bois, noire,","1","amazon.fr","Vendeur","Rocbaron","","83136","","46,62","9,33","0","0","0","0","0","0","0","-10,15","0","-0,21","0","45,59"
"4 sept. 2025 20:53:29 UTC","25403657092","Commande","407-1952553-6628309","WCCC0095L32BK","Westinghouse PERFORMANCE SERIES Sauteuse avec couvercle, 32 cm, pour induction et tous types de feux, poêle revêtue avec poignée, bord haut, passe","1","amazon.fr","Amazon","Wasselonne","","67310","","68,29","13,66","0","0","0","0","0","0","0","-29,75","0","-0,60","0","51,60"
"4 sept. 2025 20:53:29 UTC","25403657092","Commande","407-1952553-6628309","WCCC0095L32BK","Westinghouse PERFORMANCE SERIES Sauteuse avec couvercle, 32 cm, pour induction et tous types de feux, poêle revêtue avec poignée, bord haut, passe","1","amazon.fr","Amazon","Wasselonne","","67310","","68,29","13,66","0","0","0","0","0","0","0","0","0","0","0","81,95"
"4 sept. 2025 21:47:29 UTC","25403657092","Remboursement","404-2564271-1594712","Bundel 2 - Zwart","Westinghouse Retroline Set Petit-Déjeuner Noir, Grille-Pain à Quatre Fentes et Bouilloire 1,7 L, Filtre Anti-Calcaire, Protection Contre la Surchauf","1","amazon.fr","Vendeur","Champagne et Fontaine","","24320","","-122,46","-24,49","0","0","0","0","0","0","0","21,33","0","0,53","0","-125,09"
"4 sept. 2025 21:52:22 UTC","25403657092","Commande","408-8283390-1999556","WCFP0085024MBB","Westinghouse Wood Marble Poêle à frire 24 cm avec revêtement en marbre 3 couches en aluminium forgé, compatible avec induction, poignée en silico","1","amazon.fr","Vendeur","EVETTE SALBERT","","90350","","40,79","8,16","0","0","0","0","0","0","0","-8,88","0","-0,18","0","39,89"
"4 sept. 2025 22:13:53 UTC","25403657092","Commande","404-2274352-1061962","WKCMR621RD","Westinghouse Cafetiere Retro - Café filtre - Machine a Cafe Grain - Filtre réutilisable - 1,25 L - 10 tasses - 1000 W - Rouge","1","amazon.fr","Vendeur","Beaufort","","73270","","58,29","11,66","0","0","0","0","0","0","0","-12,69","0","-0,25","0","57,01"
"4 sept. 2025 22:32:10 UTC","25403657092","Commande","407-4225912-0824330","WCCC0085L32MBB","Westinghouse Sauteuse à induction - 32 cm - Avec couvercle - Édition spéciale","1","amazon.fr","Vendeur","Garches","","92380","","60,79","12,16","0","0","0","0","0","0","0","-13,24","0","-0,27","0","59,44"
"4 sept. 2025 23:52:11 UTC","25403657092","Commande","171-7738077-8010762","WCCC0085L32MBB","Westinghouse Sauteuse à induction - 32 cm - Avec couvercle - Édition spéciale","1","amazon.fr","Vendeur","Croissy sur Seine","","78290","","60,79","12,16","0","0","0","0","0","0","0","-13,23","0","-0,26","0","59,46"
"6 sept. 2025 22:19:30 UTC","25403657092","Commande","402-5617468-5669110","WKCMR621PK","Westinghouse Cafetiere Retro - Café filtre - Machine a Cafe Grain - Filtre réutilisable - 1,25 L - 10 tasses - 1000 W - Rosa","1","amazon.fr","Vendeur","Cholet","","49300","","57,46","11,49","0","0","0","0","0","0","0","-12,51","0","-0,25","0","56,19"
"7 sept. 2025 06:05:39 UTC","25403657092","Frais de stock Expédié par Amazon","","","Frais de stockage FBA","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-8,22","-8,22"
"8 sept. 2025 15:14:42 UTC","25491068652","Commande","406-4116828-3632321","WCCC0095024BK","Westinghouse PERFORMANCE SERIES Casserole - Marmite enduite 24 cm - Marmite pour induction, tous types de plaques et four - Avec support de poignée -","1","amazon.fr","Amazon","Drancy","","93700","","56,62","11,33","3,32","0,67","0","0","-3,32","-0,67","0","-12,33","-19,11","-0,63","0","35,88"
"8 sept. 2025 16:59:04 UTC","25491068652","Commande","405-9179338-2727550","WCFP0085020MBB","Westinghouse Wood Marble Poêle à frire 20 cm, revêtement antiadhésif en marbre 3 couches, en aluminium forgé, compatible avec induction, poignée","1","amazon.fr","Amazon","TOURNEFEUILLE","","31170","","29,96","5,99","0","0","0","0","0","0","0","-6,53","-12,46","-0,40","0","16,56"
"9 sept. 2025 08:21:52 UTC","25491068652","Transfert","","","Sur le compte se terminant par : 326","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-929,06","-929,06"
"9 sept. 2025 16:07:54 UTC","25491068652","Commande","407-8434256-9233916","WCCC0095L28BK","Westinghouse PERFORMANCE SERIES Sauteuse avec couvercle, 28 cm, pour induction et tous types de feux, poêle revêtue avec poignée, bord haut, passe","1","amazon.fr","Amazon","Wasselonne","","67310","","58,29","11,66","0","0","0","0","0","0","0","-12,70","0","-0,26","0","56,99"
"9 sept. 2025 21:20:53 UTC","25491068652","Commande","408-2355622-9797930","WKCMR621WH","Westinghouse Cafetiere Retro - Café filtre - Machine a Cafe Grain - Filtre réutilisable - 1,25 L - 10 tasses - 1000 W - Beige","1","amazon.fr","Vendeur","Athis Val De Rouvre","","61430","","58,29","11,66","0","0","0","0","0","0","0","-12,69","0","-0,25","0","57,01"
"9 sept. 2025 22:32:57 UTC","25491068652","Commande","402-0270040-4530768","WKWKH148WH","Westinghouse Retro Electric Kettle Blanc 1,7 l WKWKH148WH","1","amazon.fr","Amazon","argenteuil","","95100","","61,62","12,33","0","0","0","0","0","0","0","-13,42","-11,32","-0,49","0","48,72"
"9 sept. 2025 23:01:33 UTC","25491068652","Commande","407-7328754-6704315","WCCC0095L28BK","Westinghouse PERFORMANCE SERIES Sauteuse avec couvercle, 28 cm, pour induction et tous types de feux, poêle revêtue avec poignée, bord haut, passe","1","amazon.fr","Amazon","Wasselonne","","67310","","58,29","11,66","0","0","0","0","0","0","0","-12,69","0","-0,25","0","57,01"
