"Omvat transacties van Amazon Marketplace, Fulfillment by Amazon (FBA) en Amazon Webstore"
"Alle bedragen in EUR, tenzij anders vermeld"
"Definities:"
"Geïnde omzetbelasting: Inclusief omzetbelasting geïnd door kopers voor de verkoop van producten, verzending en cadeauverpakking."
"Verkoopkosten: Inclusief variabele afsluitkosten en verwijzingsvergoedingen."
"Overige transactiekosten: Inclusief terugvorderingen van verzendkosten, holdbackkosten voor verzending, kosten per item en inningskosten voor omzetbelasting."
"Overig: Inclusief transactiebedragen die niet aan bestellingen zijn gerelateerd. Raadpleeg voor meer informatie de kolommen 'Type' en 'Beschrijving' van ieder bestelnummer."
"datum/tijd","schikkings-ID","type","bestelnummer","sku","beschrijving","aantal","marketplace","fulfillment","bestelling stad","status bestelling","bestelling per post","verkoop van producten","Verzendtegoeden","kredietpunten cadeauverpakking","promotiekortingen","geïnde omzetbelasting","Belasting voor marketplace-facilitator","verkoopkosten","fba-vergoedingen","overige transactiekosten","overige","totaal"
"9 sep 2025 18:22:07 UTC","25413133072","Bestelling","403-9023637-0452301","WCFP0009030MBB","Westinghouse Black Marble WHP130 Koekenpan, 30 cm, 3-laags marmeren antiaanbaklaag, van gesmeed aluminium, geschikt voor inductie, siliconen gecoate h","1","amazon.nl","Amazon","ALKMAAR","","1822","36,32","2,47","0","-2,47","7,63","0","-7,97","-8,66","0","0","27,32"
"9 sep 2025 22:18:34 UTC","25499139652","Terugbetaling","403-9023637-0452301","WCFP0009030MBB","Westinghouse Black Marble WHP130 Koekenpan, 30 cm, 3-laags marmeren antiaanbaklaag, van gesmeed aluminium, geschikt voor inductie, siliconen gecoate h","1","amazon.nl","Amazon","ALKMAAR","","1822","-36,32","-2,47","0","2,47","-7,63","0","6,37","0","0","0","-37,58"
"10 sep 2025 15:33:55 UTC","25499139652","Overboeking","","","Naar bankrekening die eindigt met: 326","","","","","","","0","0","0","0","0","0","0","0","0","-80,49","-80,49"
"10 sep 2025 22:08:48 UTC","25499139652","Bestelling","171-4483811-6624353","BLCWK02032BK","Be Living Delight Series Wokpan, diameter 32 cm, keramiek, inductie, PFAS-vrije antiaanbaklaag","1","amazon.nl","Verkoper","ENSCHEDE","","7522","38,80","0","0","0","8,15","0","-8,52","0","0","0","38,43"
"13 sep 2025 19:59:08 UTC","25499139652","Bestelling","405-1911976-1582739","WCCC0095L28BL","Westinghouse PERFORMANCE SERIES stoofpan met hoge rand - 28 cm serveerpan inductie - pan met deksel voor alle warmtebronnen & ovenvast - inclusief han","1","amazon.nl","Amazon","Amsterdam","","1058","54,50","0,31","0","-0,31","11,45","0","-11,97","-7,22","0","0","46,76"
"13 sep 2025 22:28:26 UTC","25499139652","Bestelling","403-7452591-9282757","WCFP0009030MBB","Westinghouse Black Marble WHP130 Koekenpan, 30 cm, 3-laags marmeren antiaanbaklaag, van gesmeed aluminium, geschikt voor inductie, siliconen gecoate h","1","amazon.nl","Amazon","ALKMAAR","","1822","36,32","2,47","0","-2,47","7,63","0","-7,97","-8,66","0","0","27,32"
"17 sep 2025 22:31:13 UTC","25499139652","Bestelling","403-1252249-6710714","WCCW0009030MBB","Westinghouse Black Marble WHP131 Wokpan, 3-laags marmeren antiaanbaklaag, van gesmeed aluminium, geschikt voor inductie, siliconen gecoate handgreep,","1","amazon.nl","Verkoper","Almere","Flevoland","1336","42,93","0","0","0","9,02","0","-9,43","0","0","0","42,52"
"18 sep 2025 00:05:55 UTC","25499139652","Bestelling","408-8180049-9303503","BLCCC01024BK","BE Living Essential Kookpan met deksel - Ø 24 cm - Keramische antiaanbaklaag - Geschikt voor inductie - Vrij van PTFE en PFOA - Zwart","1","amazon.nl","Amazon","Haarlem","Noord Holland","2022","41,28","0","0","0","8,67","0","-9,07","-7,21","0","0","33,67"
"18 sep 2025 20:49:55 UTC","25499139652","Bestelling","407-7086898-0081915","BLCCC01024GR","BE Living Essential Kookpan met deksel - Ø 24 cm - Keramische antiaanbaklaag - Geschikt voor inductie - Vrij van PTFE en PFOA - Grijs","1","amazon.nl","Amazon","ALKMAAR","Netherland","1817","41,28","0,40","0","-0,40","8,67","0","-9,06","-7,21","0","0","33,68"
"19 sep 2025 21:15:22 UTC","25499139652","Bestelling","405-9545430-6083505","BLCSET2002BK","BE Living Delight 3-delige Koekenpannenset - Ø 20, 24 & 28 cm - Keramisch - PFAS vrij - Inductie - Zwart","1","amazon.nl","Amazon","Berghem","Brabant","5351","49,55","0","0","0","10,40","0","-10,88","-9,15","0","0","39,92"
