"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"31 Aug 2025 23:55:39 UTC","25378918122","Service Fee","","","Cost of Advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-507.19","0","-507.19"
"1 Sept 2025 13:29:10 UTC","25378918122","Order","206-1353823-7637118","WKWKH148URD","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Red Kettle","1","amazon.co.uk","Amazon","SKELMERSDALE","lancashire","WN8 6","MarketplaceFacilitator","46.62","9.33","0","0","0","0","0","0","-9.33","-10.15","-5.54","-0.32","0","30.61"
"1 Sept 2025 21:20:15 UTC","25378918122","Order","026-0497210-1790707","WKHBS270UWH","Westinghouse Retro Hand Blender - 600W Handheld Stick Blender for Kitchen - Stainless Steel Electric Soup Blender - Food Mixer with Various Speeds and","1","amazon.co.uk","Amazon","HORLEY","","RH6 9","MarketplaceFacilitator","28.29","5.66","0","0","0","0","0","0","-5.66","-6.16","-3.95","-0.21","0","17.97"
"1 Sept 2025 21:51:20 UTC","25378918122","Order","206-0767383-6793156","WKWKH148UWH","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Kettle (Cream","1","amazon.co.uk","Amazon","BANBURY","","OX15 4","MarketplaceFacilitator","46.62","9.33","1.66","0.33","0","0","-1.66","-0.33","-9.33","-10.15","-5.72","-0.31","0","30.44"
"1 Sept 2025 22:09:53 UTC","25378918122","Order","204-0347654-3413932","WKWKH148URD","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Red Kettle","1","amazon.co.uk","Amazon","GOSPORT","","PO12 1","MarketplaceFacilitator","46.62","9.33","2.08","0.42","0","0","0","0","-9.75","-10.15","-8.06","-0.35","0","30.14"
"1 Sept 2025 23:40:24 UTC","25378918122","Order","202-3428813-1229927","WKTTB857UWH","Westinghouse Retro 2-Slice Toaster - Six Adjustable Browning Levels - with Self Centering Function & Crumb Tray - Including Warm Rack for Bread, Bagel","1","amazon.co.uk","Amazon","Harrogate","North Yorkshire","HG1 2","MarketplaceFacilitator","46.62","9.33","0","0","0","0","0","0","-9.33","-10.15","-6.28","-0.32","0","29.87"
"2 Sept 2025 03:19:55 UTC","25378918122","Service Fee","","","Cost of Advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-36.51","0","-36.51"
"2 Sept 2025 15:07:38 UTC","25378918122","Service Fee","","","Subscription","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-30.25","-30.25"
"2 Sept 2025 19:48:39 UTC","25378918122","Order","204-8950951-1433165","WKTTB857UWH","Westinghouse Retro 2-Slice Toaster - Six Adjustable Browning Levels - with Self Centering Function & Crumb Tray - Including Warm Rack for Bread, Bagel","1","amazon.co.uk","Amazon","Kiltarlity","","IV4 7","MarketplaceFacilitator","46.62","9.33","0","0","0","0","0","0","-9.33","-10.16","-6.28","-0.33","0","29.85"
"2 Sept 2025 20:57:15 UTC","25378918122","Order","204-8950951-1433165","WKWKH148UWH","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Kettle (Cream","1","amazon.co.uk","Amazon","Kiltarlity","","IV4 7","MarketplaceFacilitator","46.62","9.33","0","0","0","0","0","0","-9.33","-10.16","-5.73","-0.32","0","30.41"
