"Comprend les transactions Amazon Marketplace, Expédié par Amazon et Boutique en ligne Amazon"
"Tous les montants sont en EUR, sauf indication contraire"
"Définitions :"
"Taxes de ventes prélevées : Inclut les taxes de vente prélevées auprès des acheteurs pour les ventes de produits, l’expédition et les emballages-cadeaux."
"Frais de vente : Comprend les frais de clôture estimés et les frais de vente."
"Autres frais de transaction : Comprend les rétrofacturations de l’expédition, les retenues sur l’expédition, les frais par article et les frais de recouvrement des taxes de vente."
"Autres : Inclut les montants des transactions non liées à une commande. Pour plus d’informations, consultez les colonnes « Type » et « Description » pour chaque numéro de commande."
"date/heure","Identifiant du paiement","type","Numéro de la commande","SKU","description","quantité","site de vente","expédition","ville de la commande","état de la commande","commande postale","ventes de produits","crédits d’expédition","crédits d’emballage-cadeau","Total des réductions","taxe de ventes prélevée","Taxe Marketplace Facilitator","frais de vente","Frais pour le service Expédié par Amazon","autres frais de transaction","autres","total"
"2 sept. 2025 13:21:37 UTC","25450391522","Transférer","","","Au compte se terminant par : 796","","","","","","","0","0","0","0","0","0","0","0","0","-208,00","-208,00"
"3 sept. 2025 22:16:45 UTC","25450391522","Commande","407-6813787-4136368","UHU0040951-XS","UHU Hart - Colle spéciale pour le modélisme, bois et plastique, transparente, tube 35 g","1","amazon.com.be","Vendeur","Lasne","","1380","4,36","7,49","0","0","0","0","-2,15","0","0","0","9,70"
"4 sept. 2025 09:28:19 UTC","25450391522","Commande","404-7157701-0189113","UHU0040951-XS","UHU Hart - Colle spéciale pour le modélisme, bois et plastique, transparente, tube 35 g","1","amazon.com.be","Vendeur","Etterbeek","Bruxelles","1040","4,36","7,49","0","0","0","0","-2,16","0","0","0","9,69"
"5 sept. 2025 22:53:42 UTC","25450391522","Commande","405-8815155-9225921","UHU0040951-XS","UHU Hart - Colle spéciale pour le modélisme, bois et plastique, transparente, tube 35 g","1","amazon.com.be","Vendeur","Etterbeek","","1040","4,36","7,49","0","0","0","0","-2,15","0","0","0","9,70"
"9 sept. 2025 16:18:51 UTC","25450391522","Commande","408-0003044-0453151","TAM85017","Tamiya Spray 100 ml TS-17 - Aluminium brillant","1","amazon.com.be","Vendeur","Ormeignies","hainaut","7802","23,95","0","0","0","0","0","-3,76","0","0","0","20,19"
"9 sept. 2025 23:03:22 UTC","25450391522","Commande","402-6229377-9843538","REV03869","Revell-03869 SBD-5 Dauntless Navyfighter Avions Maquette, 03869, Incolore, 1:48","1","amazon.com.be","Vendeur","Aalter","","9880","35,15","0","0","0","0","0","-6,38","0","0","0","28,77"
"10 sept. 2025 15:40:53 UTC","25450391522","Commande","404-4157455-0916340","CAR20062563","Carrera - 20062563 - GT Super Challenge","1","amazon.com.be","Vendeur","Crehen","","4280","72,35","0","0","0","0","0","-13,12","0","0","0","59,23"
"10 sept. 2025 18:17:14 UTC","25450391522","Commande","403-5596490-1449168","CAR20062573","Carrera GO... Racing for Glory Circuit de course avec cartes à sous licence, jusqu'à 2 joueurs, pour enfants à partir de 6 ans et adultes","1","amazon.com.be","Vendeur","Bruxelles","","1200","55,88","0","0","0","0","0","-10,14","0","0","0","45,74"
"11 sept. 2025 12:11:28 UTC","25450391522","Commande","404-2834231-6407509","VAL70257-XS","Vallejo - Ensemble de peinture acrylique spéciale Wargame | Couleur du modèle | Couleurs à haute pigmentation | Finitions réalistes et historiques","1","amazon.com.be","Vendeur","Waterloo","","1410","48,19","0","0","0","0","0","-8,75","0","0","0","39,44"
"11 sept. 2025 21:29:21 UTC","25450391522","Commande","402-3372499-3559568","CAR370503024","Carrera RC - 2,4GHz Mini Mario-Copter","1","amazon.com.be","Vendeur","Blandain","","7522","59,45","0","0","0","0","0","-10,79","0","0","0","48,66"
"11 sept. 2025 21:35:12 UTC","25450391522","Commande","405-1867823-0926743","REV05167","Revell Kit de modélisme I German Submarine Type IX C/40 (U190) I Kit de sous-marin de niveau 4 115 pièces I Échelle 1:144 I Pour enfants et adultes","1","amazon.com.be","Vendeur","Corroy-le-Grand","","1325","24,85","0","0","0","0","0","-4,51","0","0","0","20,34"
"11 sept. 2025 23:25:20 UTC","25450391522","Commande","403-8966815-0029145","TAM87102","Mark Fit (40 ml)","1","amazon.com.be","Vendeur","Hamont-Achel","Limburg","3930","15,95","0","0","0","0","0","-2,89","0","0","0","13,06"
"11 sept. 2025 23:41:28 UTC","25450391522","Commande","171-6599729-3775527","ITA6197","Italeri 6197S 1:72 Kit de bataille Waterloo La Haye Sainte, réplique fidèle à l'origine, modélisme, bricolage, passe-temps, collage, kit plastique","1","amazon.com.be","Vendeur","Spontin","","5530","69,55","0","0","0","0","0","-12,63","0","0","0","56,92"
"11 sept. 2025 23:51:11 UTC","25450391522","Commande","408-5518956-3594706","MIG2048-XS","Ammo Mig Jiminez - MR. PUTTY SURFACER - MEDIUM 30 ML JAR (9/22) *","1","amazon.com.be","Vendeur","Linkebeek","","1630","18,95","0","0","0","0","0","-2,98","0","0","0","15,97"
"12 sept. 2025 17:34:37 UTC","25450391522","Commande","407-8687639-2703555","REV05167","Revell Kit de modélisme I German Submarine Type IX C/40 (U190) I Kit de sous-marin de niveau 4 115 pièces I Échelle 1:144 I Pour enfants et adultes","1","amazon.com.be","Vendeur","Ciply","","7024","24,85","0","0","0","0","0","-4,52","0","0","0","20,33"
"13 sept. 2025 22:10:22 UTC","25450391522","Commande","406-5256189-9525100","REV32342-XS","Revell - 32342 - Accessoire Pour Maquette - Couleurs De Base 6 Pots, Blanc","1","amazon.com.be","Vendeur","Uccle","","1180","16,99","7,49","0","0","0","0","-4,45","0","0","0","20,03"
"13 sept. 2025 22:30:28 UTC","25450391522","Commande","408-1739967-6630717","HAS20740","Hasegawa - 1/24 Mitsubishi Lancer EX 1800gsr Turbo - Maquette en Plastique - Echelle 1:24","1","amazon.com.be","Vendeur","Herstal","","4040","41,99","7,49","0","0","0","0","-8,97","0","0","0","40,51"
"15 sept. 2025 21:09:54 UTC","25533442092","Commande","404-8782079-2163535","VAL71199","Vallejo VJ71251 Nettoyant aérographe, beige, 200 ml 71.199","1","amazon.com.be","Vendeur","Binche","","7134","17,97","0","0","0","0","0","-2,83","0","0","0","15,14"
"15 sept. 2025 21:29:05 UTC","25533442092","Commande","405-9719332-8929938","TAM87077","Diluant cellulosique Tamiya 87077","1","amazon.com.be","Vendeur","Villers-Perwin","","6210","25,95","0","0","0","0","0","-4,07","0","0","0","21,88"
"15 sept. 2025 22:27:06 UTC","25533442092","Commande","404-5281584-5330723","CAR20062566","Carrera","1","amazon.com.be","Vendeur","Saint-Léger","","7730","72,00","0","0","0","0","0","-13,06","0","0","0","58,94"
"15 sept. 2025 23:30:41 UTC","25533442092","Commande","408-7216075-8579521","ITA1356","Italeri - I1356 - Maquette - Aviation - Planeur As.51 Horsa + Paras","1","amazon.com.be","Vendeur","Lokeren","","9160","25,99","7,49","0","0","0","0","-6,08","0","0","0","27,40"
"16 sept. 2025 13:22:07 UTC","25533442092","Transférer","","","Au compte se terminant par : 796","","","","","","","0","0","0","0","0","0","0","0","0","-458,28","-458,28"
"16 sept. 2025 15:03:38 UTC","25533442092","Commande","171-3270790-4526721","VAL28890","Acrylicos Vallejo 85 ml restaurateur de brosse","1","amazon.com.be","Vendeur","Minderhout","","2322","17,95","0","0","0","0","0","-3,26","0","0","0","14,69"
"16 sept. 2025 15:03:38 UTC","25533442092","Commande","171-3270790-4526721","VAL28900","Vallejo Brush Cleaner (Alcohol) 85ml - VAL28900","1","amazon.com.be","Vendeur","Minderhout","","2322","14,38","0","0","0","0","0","-2,62","0","0","0","11,76"
"16 sept. 2025 17:21:33 UTC","25533442092","Commande","405-4051821-6281942","CAR20062573","Carrera GO... Racing for Glory Circuit de course avec cartes à sous licence, jusqu'à 2 joueurs, pour enfants à partir de 6 ans et adultes","1","amazon.com.be","Vendeur","Grez-Doiceau","","1390","55,88","0","0","0","0","0","-10,14","0","0","0","45,74"
"16 sept. 2025 19:23:27 UTC","25533442092","Commande","404-0563765-7965936","REV01207","Revell Bandai- Revell 01207 Maquette Wars étoile de la Mort II et Imperial Star Destroyer, Black","1","amazon.com.be","Vendeur","Arlon","","6700","23,62","0","0","0","0","0","-4,28","0","0","0","19,34"
"16 sept. 2025 20:06:49 UTC","25533442092","Commande","404-2869817-1924300","CAR20062573","Carrera GO... Racing for Glory Circuit de course avec cartes à sous licence, jusqu'à 2 joueurs, pour enfants à partir de 6 ans et adultes","1","amazon.com.be","Vendeur","Antwerpen","","2018","55,88","0","0","0","0","0","-10,13","0","0","0","45,75"
"16 sept. 2025 21:11:52 UTC","25533442092","Commande","402-9454727-7601161","TMT09816","Trumpeter 170 x 75 x 67 mm TSM-9816 Vitrine multicolore","1","amazon.com.be","Vendeur","Genappe","","1474","20,21","0","0","0","0","0","-3,67","0","0","0","16,54"
"16 sept. 2025 21:30:58 UTC","25533442092","Commande","404-7929872-2092338","TAM87051-XS","TAMIYA - 87051 - MASTIC EPOXY RAPIDE","1","amazon.com.be","Vendeur","Visé","","4600","16,99","0","0","0","0","0","-3,09","0","0","0","13,90"
"16 sept. 2025 22:00:48 UTC","25533442092","Commande","171-3043513-0701937","TAM87012-XS","Tamiya Cement 20 ml","1","amazon.com.be","Vendeur","Bertem","","3060","14,16","0","0","0","0","0","-2,57","0","0","0","11,59"
"16 sept. 2025 22:14:47 UTC","25533442092","Commande","406-0552233-4694768","ITA3942","Italeri Volvo FH4 SHOWTRUCK Camion 3942S","1","amazon.com.be","Vendeur","Aiseau","","6250","66,15","0","0","0","0","0","-12,01","0","0","0","54,14"
"16 sept. 2025 22:16:48 UTC","25533442092","Commande","405-4883695-2405918","UHU0040951-XS","UHU Hart - Colle spéciale pour le modélisme, bois et plastique, transparente, tube 35 g","1","amazon.com.be","Vendeur","1430 BRAINE L'alleud","Brabant wallon","1420","14,76","0","0","0","0","0","-2,67","0","0","0","12,09"
"16 sept. 2025 22:23:07 UTC","25533442092","Commande","404-0904203-2797967","REV04218","Revell - 4218 - Maquette - Airbus A380","1","amazon.com.be","Vendeur","bruxelles","","1020","29,75","0","0","0","0","0","-5,39","0","0","0","24,36"
"16 sept. 2025 23:55:13 UTC","25533442092","Commande","404-2005492-1907539","REV39075-XS","Revell Aqua Color 39075 Lot de 6 flacons de peinture pour modélisme militaire (6 x 5 ml)","1","amazon.com.be","Vendeur","SHAPE","","7010","21,15","0","0","0","0","0","-3,84","0","0","0","17,31"
"16 sept. 2025 23:55:13 UTC","25533442092","Commande","404-2005492-1907539","REV39620","Revell - 39620 - Accessoires pour Maquettes - Aqua Color Clean - 100 ml","1","amazon.com.be","Vendeur","SHAPE","","7010","16,56","0","0","0","0","0","-3,00","0","0","0","13,56"
"16 sept. 2025 23:55:13 UTC","25533442092","Commande","404-2005492-1907539","REV39071-XS","Revell, 10 ans à 18 ans, Ensemble D'avions Militaires.","1","amazon.com.be","Vendeur","SHAPE","","7010","15,85","0","0","0","0","0","-2,88","0","0","0","12,97"
