"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"01.09.2025 15:13:50 UTC","25410883432","Bestellung","304-7422606-4581101","JAM412589","JAMARA 412589 - Fendt Former für RC Fendt Traktor 405035 - rotierende Zinken während des Fahrbetriebs, ferngesteuerte hochklappbare Auslegerarme, An","1","amazon.de","Verkäufer","Fellbach","","70734","","22,93","0","9,00","0","0","0","0","0","0","-5,80","0","0","0","26,13"
"01.09.2025 16:26:51 UTC","25410883432","Bestellung","305-5784213-6401127","REV05422","Revell 05422 - Cutty Sark im Maßstab 1:96","1","amazon.de","Verkäufer","Jever","","26441","","67,69","0","9,00","0","0","0","0","0","0","-13,91","0","0","0","62,78"
"01.09.2025 16:50:30 UTC","25410883432","Bestellung","302-1128211-0477137","REV05422","Revell 05422 - Cutty Sark im Maßstab 1:96","1","amazon.de","Verkäufer","Düsseldorf","","40223","","67,69","0","9,00","0","0","0","0","0","0","-13,92","0","0","0","62,77"
"01.09.2025 17:23:58 UTC","25410883432","Bestellung","303-8652976-4928310","GLOW5058052000","Trumpeter G2B5058052000 Glow2B 1:200-Yamato Battleship, Premium Scale Model Kit","1","amazon.de","Verkäufer","München","","81925","","377,93","0","9,00","0","0","0","0","0","0","-70,23","0","0","0","316,70"
"01.09.2025 19:26:18 UTC","25410883432","Bestellung","305-3402083-2497126","JC54200","Jaegerndorfer JaegerndorferJC54200 6 Stück sitzende Figuren mit Kopfski, Maßstab 1:32, merhfarbig","1","amazon.de","Verkäufer","Gießen","","35392","","22,82","0","3,00","0","0","0","0","0","0","-4,69","0","0","0","21,13"
"01.09.2025 19:26:18 UTC","25410883432","Bestellung","305-3402083-2497126","JC50080","Jaegerndorfer JC50080 Netzteil ''230V 1:32 EU'', Mehrfarbig, 123","1","amazon.de","Verkäufer","Gießen","","35392","","19,98","0","3,00","0","0","0","0","0","0","-4,18","0","0","0","18,80"
"01.09.2025 19:26:18 UTC","25410883432","Bestellung","305-3402083-2497126","JC50200","Jaegerndorfer JaegerndorferJC50200 Verstellbare Türme für 3 Höhen, Mehrfarbig, 2 Stück","1","amazon.de","Verkäufer","Gießen","","35392","","65,48","0","3,00","0","0","0","0","0","0","-12,42","0","0","0","56,06"
"01.09.2025 20:20:58 UTC","25410883432","Bestellung","303-4987028-7463551","REV05715","Revell RV05715 Modellbausatz Schiff 1:400 - Geschenkset 100 Jahre Titanic im Maßstab 1:400, Level 5, originalgetreue Nachbildung mit vielen Details,","1","amazon.de","Verkäufer","Schwäbisch Gmünd","","73527","","40,51","0","9,00","0","0","0","0","0","0","-8,99","0","0","0","40,52"
"01.09.2025 21:32:58 UTC","25410883432","Bestellung","305-0910137-4836316","VAL28021","Vallejo 28021 Silver, Fantasy, Sprühdose","4","amazon.de","Verkäufer","Gießen","","35390","","25,04","0","9,00","0","0","0","0","0","0","-6,19","0","0","0","27,85"
"01.09.2025 21:49:32 UTC","25410883432","Bestellung","302-7171884-1749912","FR55406","FRANZIS 55406 - Mercedes-Benz Unimog Adventskalender grün, Metall Modellbausatz im Maßstab 1:43, inkl. Soundmodul und 52-seitigem Begleitbuch","1","amazon.de","Verkäufer","Heidenheim An Der Brenz","","89518","","35,99","0","9,00","0","0","0","0","0","0","-8,17","0","0","0","36,82"
