"Includes Amazon Marketplace, Fulfilment by Amazon (FBA) and Amazon Webstore transactions"
"All amounts in EUR, unless specified"
"Definitions:"
"Sales tax collected: includes sales tax collected from buyers for product sales, shipping and giftwrap."
"Selling fees: includes variable closing fees and referral fees."
"Other transaction fees: includes shipping chargebacks, shipping holdbacks, per-item fees and sales tax collection fees."
"Other: includes non-order transaction amounts. For more details, see the “Type” and “Description” columns for each order ID."
"date/time","settlement ID","type","order ID","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","shipping credits","giftwrap credits","promotional rebates","sales tax collected","Marketplace facilitator tax","selling fees","FBA fees","other transaction fees","other","total"
"4 Sept 2025 14:47:57 UTC","24884108402","Order","408-0745975-2095558","FR67011","Eight Innovation Electronic Games Advent Calendar","1","amazon.ie","Seller","Tralee","Kerry","","50.36","14.50","0","0","0","0","-11.77","0","0","0","53.09"
"10 Sept 2025 10:06:57 UTC","25498355532","Transfer","","","To account ending with: 796","","","","","","","0","0","0","0","0","0","0","0","0","-48.20","-48.20"
"22 Sept 2025 09:32:39 UTC","25498355532","Order","404-7998837-8989958","REV00530","Revell Model Kit Tiny Adventures I Diagon Alley Harry Potter I 3D Miniature House I Book Nook Wooden Bookend I Birth Gift for Fans I Bookend Harry Pot","1","amazon.ie","Seller","Dublin","Dublin","","34.95","12.92","0","0","11.01","0","-10.69","0","0","0","48.19"
"22 Sept 2025 14:38:51 UTC","25498355532","Order","408-7944588-6119548","VAL72299-XS","Acylicos Vallejo - 72299 - Acrylic 16 Colors for Fantasy Figures","1","amazon.ie","Seller","Skibbereen","Cork","","26.85","12.12","0","0","8.96","0","-8.70","0","0","0","39.23"
"23 Sept 2025 12:31:41 UTC","25498355532","Order","408-9053947-7835553","FR67391-6","FRANZIS 67391 McLaren Racing Advent Calendar 2025 Model Kit in Scale 1:43 Includes Sound Module and 52 Page Accompaniment Book","1","amazon.ie","Seller","Quin","Co. Clare","","54.46","12.37","0","0","15.37","0","-14.92","0","0","0","67.28"
"24 Sept 2025 10:01:47 UTC","25585124292","Transfer","","","To account ending with: 796","","","","","","","0","0","0","0","0","0","0","0","0","-53.09","-53.09"
"27 Sept 2025 14:21:11 UTC","25585124292","Order","404-4550239-2747513","FR67391-6","FRANZIS 67391 McLaren Racing Advent Calendar 2025 Model Kit in Scale 1:43 Includes Sound Module and 52 Page Accompaniment Book","1","amazon.ie","Seller","Co.Cork","Ireland","","65.01","12.37","0","0","17.79","0","-17.28","0","0","0","77.89"
"29 Sept 2025 10:31:30 UTC","25585124292","Order","408-2463765-6821110","REV01055","Revell Advent Calendar 007 James Bond Aston Martin DB5 (easy-click) I 007 James Bond Advent Calendar I Aston Martin DB5 I Assemble in 24 Days I No Glu","1","amazon.ie","Seller","Ashbourne","Meath","","38.43","13.34","0","0","11.91","0","-11.55","0","0","0","52.13"
"29 Sept 2025 10:31:58 UTC","25585124292","Order","402-1739790-7659519","HBS84579","Hobbyboss 1:35 - Archer Artillery System FH77BW L52","1","amazon.ie","Seller","Youghal","Cork","","98.37","12.92","0","0","25.60","0","-24.84","0","0","0","112.05"
"29 Sept 2025 10:32:01 UTC","25585124292","Order","404-8932436-1573925","FR67391-6","FRANZIS 67391 McLaren Racing Advent Calendar 2025 Model Kit in Scale 1:43 Includes Sound Module and 52 Page Accompaniment Book","1","amazon.ie","Seller","Cobh","Cork","","65.01","12.37","0","0","17.79","0","-17.27","0","0","0","77.90"
"29 Sept 2025 10:33:15 UTC","25585124292","Order","402-6838551-5773168","HEL57072","Heller Joustra Model Boat Starter Kit: Charles De Gaulle Aircraft Carrier","1","amazon.ie","Seller","Youghal","Cork","","64.93","13.08","0","0","17.95","0","-17.41","0","0","0","78.55"
