"Omvat transacties van Amazon Marketplace, Fulfillment by Amazon (FBA) en Amazon Webstore"
"Alle bedragen in EUR, tenzij anders vermeld"
"Definities:"
"Geïnde omzetbelasting: Inclusief omzetbelasting geïnd door kopers voor de verkoop van producten, verzending en cadeauverpakking."
"Verkoopkosten: Inclusief variabele afsluitkosten en verwijzingsvergoedingen."
"Overige transactiekosten: Inclusief terugvorderingen van verzendkosten, holdbackkosten voor verzending, kosten per item en inningskosten voor omzetbelasting."
"Overig: Inclusief transactiebedragen die niet aan bestellingen zijn gerelateerd. Raadpleeg voor meer informatie de kolommen 'Type' en 'Beschrijving' van ieder bestelnummer."
"datum/tijd","schikkings-ID","type","bestelnummer","sku","beschrijving","aantal","marketplace","fulfillment","bestelling stad","status bestelling","bestelling per post","verkoop van producten","Verzendtegoeden","kredietpunten cadeauverpakking","promotiekortingen","geïnde omzetbelasting","Belasting voor marketplace-facilitator","verkoopkosten","fba-vergoedingen","overige transactiekosten","overige","totaal"
"1 sep 2025 08:27:05 UTC","25429475792","Bestelling","405-2793463-8336346","VAL26007","Vallejo 026007 - kleurstandaard voor werkplaats, 1 stuk (1 stuk)","1","amazon.nl","Verkoper","Ede","","6718","16,50","4,95","0","0","0","0","-3,89","0","0","0","17,56"
"1 sep 2025 16:48:44 UTC","25429475792","Bestelling","171-4873740-3487555","VAL28011","Vallejo - Voorlakspray 400 ml grijs (verpakking kan afwijken)","2","amazon.nl","Verkoper","Tegelen","Limburg","5931","21,90","4,95","0","0","0","0","-4,23","0","0","0","22,62"
"1 sep 2025 21:25:16 UTC","25429475792","Bestelling","408-5347772-9884330","REV12627","Revell Monogram RVM2627 Plastic Modelset, diverse","1","amazon.nl","Verkoper","Hazerswoude-dorp","Nederland","2391","59,99","4,95","0","0","0","0","-11,78","0","0","0","53,16"
"1 sep 2025 22:11:49 UTC","25429475792","Bestelling","406-5922069-3214712","VAL71199","Airbrush reiniger 200 ml. Vallejo 71.199 Cleaner","1","amazon.nl","Verkoper","Nederweert","Limburg","6031","7,99","4,95","0","0","0","0","-2,35","0","0","0","10,59"
"2 sep 2025 17:29:05 UTC","25429475792","Bestelling","408-6882731-0018732","VAL71562","Acrylicos Vallejo Vloeiverbeteraar, 200 ml","1","amazon.nl","Verkoper","MIDDENMEER","","1775","8,99","4,95","0","0","0","0","-2,52","0","0","0","11,42"
"2 sep 2025 17:33:18 UTC","25429475792","Bestelling","405-0796649-3266733","VAL28012","Vallejo Hobby Paint Spray Primer Premium Black (400ml)","3","amazon.nl","Verkoper","Roosendaal","Noord-Brabant","4707","29,94","4,95","0","0","0","0","-6,31","0","0","0","28,58"
"2 sep 2025 19:06:59 UTC","25429475792","Bestelling","402-4882385-9698759","VAL28012","Vallejo Hobby Paint Spray Primer Premium Black (400ml)","1","amazon.nl","Verkoper","Uithoorn","Noord-Holland","1422","9,98","4,95","0","0","0","0","-2,70","0","0","0","12,23"
"2 sep 2025 22:09:24 UTC","25429475792","Bestelling","403-5163942-9507534","VAL28012","Vallejo Hobby Paint Spray Primer Premium Black (400ml)","1","amazon.nl","Verkoper","Rijswijk","Zuid-Holland","2285","9,98","4,95","0","0","0","0","-2,72","0","0","0","12,21"
"2 sep 2025 22:09:30 UTC","25429475792","Bestelling","404-9112299-8733935","TAM87038","Tamiya Modelaccessoire: Extra Fluid Glue","6","amazon.nl","Verkoper","HOUTEN","","3992","51,00","4,95","0","0","0","0","-10,17","0","0","0","45,78"
"2 sep 2025 22:16:09 UTC","25429475792","Bestelling","171-7668523-8105154","VAL71199","Airbrush reiniger 200 ml. Vallejo 71.199 Cleaner","1","amazon.nl","Verkoper","ZUTPHEN","","7207","7,99","4,95","0","0","0","0","-2,36","0","0","0","10,58"
"2 sep 2025 22:21:59 UTC","25429475792","Bestelling","405-1479558-4196306","TAM87182","Tamiya Extra Thin ""Quick Setting"" Plastikkleber 87182 40ml","1","amazon.nl","Verkoper","Den Haag","Zuid-Holland","2513","6,95","4,95","0","0","0","0","-2,18","0","0","0","9,72"
"2 sep 2025 22:23:37 UTC","25429475792","Bestelling","405-1613947-0609903","VAL28012","Vallejo Hobby Paint Spray Primer Premium Black (400ml)","1","amazon.nl","Verkoper","UTRECHT","","3562","9,98","4,95","0","0","0","0","-2,72","0","0","0","12,21"
