"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"2 Sept 2025 17:16:05 UTC","25403553722","Order","203-2120987-2305916","FR67140","Franzis Porsche Flat Six Model Engine Kit","1","amazon.co.uk","Seller","HALSTEAD","Essex","CO9 3","MarketplaceFacilitator","105.96","21.19","18.71","3.74","0","0","0","0","-24.93","-27.16","0","-0.55","0","96.96"
"2 Sept 2025 22:05:57 UTC","25403553722","Order","026-8777778-6295527","REV05715","Revell Gift Set 05715 R.M.S. Titanic 100th Anniversary 1:400 Scale Unbuilt Plastic Model Kit, Postcards, Brochure, Menu, Contacta Professional Glue, P","1","amazon.co.uk","Seller","BILSTON","","WV14 9","MarketplaceFacilitator","39.95","7.99","16.83","3.37","0","0","0","0","-11.36","-12.35","0","-0.24","0","44.19"
"2 Sept 2025 23:34:22 UTC","25403553722","Order","203-0750422-5517155","AHHQ003","Andy's hobby headquarters - Tiger I Early Pz.kpfw.VI Ausf.e-SD.kfz.181 Early Ahhq-003 1/16th Model Kit Char Promo","1","amazon.co.uk","Seller","DONCASTER","","DN2 5","MarketplaceFacilitator","114.17","22.83","19.07","3.82","0","0","0","0","-26.65","-29.02","0","-0.59","0","103.63"
"8 Sept 2025 23:03:48 UTC","25490503992","Order","202-8532212-5487508","REV05715","Revell Gift Set 05715 R.M.S. Titanic 100th Anniversary 1:400 Scale Unbuilt Plastic Model Kit, Postcards, Brochure, Menu, Contacta Professional Glue, P","1","amazon.co.uk","Seller","CHASE TERRACE","","WS7 1","MarketplaceFacilitator","39.95","7.99","16.83","3.37","0","0","0","0","-11.36","-12.36","0","-0.24","0","44.18"
"9 Sept 2025 21:34:46 UTC","25490503992","Order","203-2947253-7826746","REV05658","Revell 05658 Star Wars Return Of The Jedi Y-Wing Fighter Model Gift Set 1:72 Scale Unbuilt Plastic Model Kit with Contacta Professional Glue, Paintbru","1","amazon.co.uk","Seller","BISHOP'S STORTFORD","","CM23 5","MarketplaceFacilitator","24.99","5.00","16.21","3.24","0","0","0","0","-8.24","-8.97","0","-0.18","0","32.05"
"9 Sept 2025 21:46:37 UTC","25490503992","Order","202-9800974-5548323","TAM56368","TAMIYA 56368 1:14 RC Scania 770 S 6x4 - Assembly Kit, RC Truck, Remote Controllable, Truck, Truck, Construction Toy, Model Making, Crafts, Unpainted","1","amazon.co.uk","Seller","Birmingham","","B46 2","","454.78","0","25.98","0","0","0","0","0","0","-87.25","0","-1.74","0","391.77"
"10 Sept 2025 04:01:56 UTC","25490503992","Transfer","","","To account ending with: 796","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-758.82","-758.82"
"10 Sept 2025 19:54:12 UTC","25490503992","Order","202-3406068-0839511","CAR20062548","Carrera Go!!! Max Performance | Formula 1 Race Track Set | Max Verstappen vs Louis Hamilton | 2 Slot Cars Including 2 Hand Regulators with Turbo Butto","1","amazon.co.uk","Seller","Marseille","Bouches du Rhone","13008","","59.00","0","17.15","0","0","0","0","0","0","-13.82","0","-0.28","0","62.05"
"10 Sept 2025 20:28:47 UTC","25490503992","Order","203-5429576-1068340","JC50100","Jaegerndorfer JaegerndorferJC50100 Adjustable Tower for 3 Heights","1","amazon.co.uk","Seller","TOWCESTER","","NN12 6","MarketplaceFacilitator","37.49","7.50","16.19","3.24","0","0","0","0","-10.74","-11.69","0","-0.23","0","41.76"
"11 Sept 2025 07:34:39 UTC","25490503992","Order","204-8538075-7363542","REV05675","Revell Gift Set 05675 ""Das Boot Movie 40 Years Collector's Edition 1:144 Scale Unbuilt Plastic Model Kit with Contacta Professional Glue, Paintbrush,","1","amazon.co.uk","Seller","tullow","co. carlow","","","23.00","0","25.57","0","0","0","0","0","0","-8.81","0","-0.18","0","39.58"
"11 Sept 2025 15:58:35 UTC","25490503992","Order","204-6240375-9611560","FR67501-9","Franzis 67501 Ford Mustang V8 Engine 1:4 Scale Engine Kit with Sound Module, Instructions and 100 Page Accompaniment Book","1","amazon.co.uk","Seller","KILMACOLM","","PA13 4","MarketplaceFacilitator","125.17","10.01","20.66","1.65","0","0","0","0","-11.66","-28.58","0","-0.57","0","116.68"
"11 Sept 2025 20:37:38 UTC","25490503992","Order","204-9784358-9500360","FR67235","FRANZIS 67235 Oracle Red Bull Racing Advent Calendar Model Kit 1:43 Scale Includes Sound Module and 52 Page Accompaniment Book","1","amazon.co.uk","Seller","Larnaca","","","","32.62","0","29.95","0","0","0","0","0","0","-12.57","0","-0.26","0","49.74"
"11 Sept 2025 23:14:52 UTC","25490503992","Order","203-0153177-1742734","CAR20062491","Carrera 20062491 Mario Kart Slot Car Track Set, Multicoloured, 58 x 10 x 40 cm","1","amazon.co.uk","Seller","BEVERLEY","","HU17 8","MarketplaceFacilitator","42.02","8.41","18.25","3.65","0","0","0","0","-12.06","-13.12","0","-0.26","0","46.89"
"11 Sept 2025 23:27:45 UTC","25490503992","Order","026-2378151-2449941","FR67501-9","Franzis 67501 Ford Mustang V8 Engine 1:4 Scale Engine Kit with Sound Module, Instructions and 100 Page Accompaniment Book","1","amazon.co.uk","Seller","GLASGOW","","G33 5","MarketplaceFacilitator","125.17","10.01","20.66","1.65","0","0","0","0","-11.66","-28.59","0","-0.57","0","116.67"
"12 Sept 2025 20:37:32 UTC","25490503992","Order","205-5468274-7373960","REV05715","Revell Gift Set 05715 R.M.S. Titanic 100th Anniversary 1:400 Scale Unbuilt Plastic Model Kit, Postcards, Brochure, Menu, Contacta Professional Glue, P","1","amazon.co.uk","Seller","NORWICH","","NR7 9","MarketplaceFacilitator","39.95","7.99","16.83","3.37","0","0","0","0","-11.36","-12.35","0","-0.24","0","44.19"
"12 Sept 2025 21:48:02 UTC","25490503992","Order","205-8472595-8725149","CAR20062573","Carrera GO!!! 62573 Racing for Glory Set","1","amazon.co.uk","Seller","DISS","Norfolk","IP22 2","MarketplaceFacilitator","44.81","8.96","18.67","3.73","0","0","0","0","-12.69","-13.84","0","-0.28","0","49.36"
"13 Sept 2025 23:03:44 UTC","25490503992","Order","202-2600939-3249135","JAM460590","JAMARA HoppyDoo 460590 Bouncy Sheep Toy for Children, Bouncing Toy Baby Indoor/Outdoor, Gift for Kids, Garden Toy, Bouncing, Easy Care, BPA-Free, with","1","amazon.co.uk","Seller","HINCKLEY","","LE10 1","MarketplaceFacilitator","15.61","3.12","17.28","3.46","0","0","0","0","-6.58","-7.16","0","-0.15","0","25.58"
"13 Sept 2025 23:08:20 UTC","25490503992","Refund","202-2600939-3249135","JAM460590","JAMARA HoppyDoo 460590 Bouncy Sheep Toy for Children, Bouncing Toy Baby Indoor/Outdoor, Gift for Kids, Garden Toy, Bouncing, Easy Care, BPA-Free, with","1","amazon.co.uk","Seller","HINCKLEY","","LE10 1","MarketplaceFacilitator","-15.61","-3.12","-17.28","-3.46","0","0","0","0","6.58","5.73","0","0.15","0","-27.01"
"15 Sept 2025 12:26:33 UTC","25490503992","Refund","026-2378151-2449941","FR67501-9","Franzis 67501 Ford Mustang V8 Engine 1:4 Scale Engine Kit with Sound Module, Instructions and 100 Page Accompaniment Book","1","amazon.co.uk","Seller","GLASGOW","","G33 5","MarketplaceFacilitator","-125.17","-10.01","-20.66","-1.65","0","0","0","0","11.66","22.88","0","0.57","0","-122.38"
"15 Sept 2025 21:41:55 UTC","25490503992","Order","206-9915431-8419506","TAK2196","TAKOM - Model Tank Sd.kfz.181 Pz.kpfw.vi Ausf.e Tiger I Early Production |takom|2196| 1:35 Model Tank Promo","1","amazon.co.uk","Seller","WAKEFIELD","","WF1 3","MarketplaceFacilitator","25.87","5.18","0","0","0","0","0","0","-5.18","-5.64","0","-0.11","0","20.12"
