"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"1 sept. 2025 21:31:10 UTC","25367610722","Commande","407-9748574-0293142","342643","ProPlus Support de roue de secours pour remorque - Support de roue de rechange pour timon jusqu'à 15 ?","1","amazon.fr","Vendeur","St Montan","","07220","","34,78","0","0","0","0","0","0","0","0","-6,32","0","-0,12","0","28,34"
"2 sept. 2025 03:41:51 UTC","25367610722","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-27,34","0","-27,34"
"2 sept. 2025 07:32:29 UTC","25367610722","Commande","404-6996193-2084364","610693CT","Campout Kit de Tapis isolants pour Renault Master à partir de 1998-04-2010 - Film Anti-Regards pour vitres - Film Isolant pour vitres - matériau 7 C","1","amazon.fr","Vendeur","Blotzheim","","68730","","64,97","0","0","0","0","0","0","0","0","-10,71","0","-0,22","0","54,04"
"2 sept. 2025 22:09:55 UTC","25367610722","Commande","404-8320198-1223540","610686V02","Housse de pare-brise pour Fiat Ducato X290, blanc, gris, camping-car, protection UV (gris)","1","amazon.fr","Vendeur","St Martin De Seignanx","","40390","","71,85","0","0","0","0","0","0","0","0","-11,46","0","-0,23","0","60,16"
"2 sept. 2025 22:28:11 UTC","25367610722","Commande","404-1959208-5045123","360176","Nemesis Sabot de Roue, Griffe de Pneu, Sabot antidémarrage","1","amazon.fr","Vendeur","NEUVILLY","","59360","","199,98","0","0","0","0","0","0","0","0","-25,41","0","-0,50","0","174,07"
"2 sept. 2025 23:30:12 UTC","25367610722","Commande","403-7794570-7461105","341508PUV01","ProPlus Roue Jockey Double remorque 48 mm Pneu PU Double Roue Jockey 550 x 770 mm","1","amazon.fr","Vendeur","BOURG ST MAURICE","","73700","","55,34","0","0","0","0","0","0","0","0","-9,66","0","-0,20","0","45,48"
"3 sept. 2025 07:54:17 UTC","25367610722","Commande","406-0059485-8109154","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","Ceyreste","","13600","","52,56","0","0","0","0","0","0","0","0","-9,36","0","-0,19","0","43,01"
"3 sept. 2025 16:12:09 UTC","25462829012","Commande","402-6084665-0352326","610693CT","Campout Kit de Tapis isolants pour Renault Master à partir de 1998-04-2010 - Film Anti-Regards pour vitres - Film Isolant pour vitres - matériau 7 C","1","amazon.fr","Vendeur","gueures","","76730","","64,97","0","0","0","0","0","0","0","0","-10,71","0","-0,22","0","54,04"
"3 sept. 2025 20:23:52 UTC","25462829012","Commande","407-0031847-2897943","341508PUV01","ProPlus Roue Jockey Double remorque 48 mm Pneu PU Double Roue Jockey 550 x 770 mm","1","amazon.fr","Vendeur","La Seyne-sur-Mer","","83500","","55,34","0","0","0","0","0","0","0","0","-9,66","0","-0,20","0","45,48"
"3 sept. 2025 22:15:36 UTC","25462829012","Commande","406-6810841-0643512","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","Les Milles","","13290","","52,56","0","0","0","0","0","0","0","0","-9,35","0","-0,18","0","43,03"
