"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"31.07.2025 22:19:04 UTC","25192816272","Bestellung","306-3212964-3638715","360854V01CT","Campout Küchenzeile - 100 x 49 x 82,5 cm - Faltbare Campingküche - Outdoor Küche - Zusammenklappbare Campingschrank - Klappbar mit Stauraum - Platz","1","amazon.de","Verkäufer","Hagen","Deutschland","58099","","159,00","0","0","0","0","0","0","0","0","-28,86","0","0","0","130,14"
"01.08.2025 08:04:23 UTC","25192816272","Bestellung","305-6393029-7669936","360854V01CT","Campout Küchenzeile - 100 x 49 x 82,5 cm - Faltbare Campingküche - Outdoor Küche - Zusammenklappbare Campingschrank - Klappbar mit Stauraum - Platz","1","amazon.de","Verkäufer","Lägerdorf","","25566","","159,00","0","0","0","0","0","0","0","0","-28,86","0","0","0","130,14"
"01.08.2025 16:16:26 UTC","25192816272","Bestellung","305-0957643-6610712","368300CT","Campout Aufblasbares Tunnelzelt - 455 x 270 cm - Familienzelt für 4 Personen - Abgedunkelte Schlafkabinen - TPU-Schläuche - Wasserdichtes Zelt - Bel","1","amazon.de","Verkäufer","Velbert","","42549","","369,00","0","0","0","0","0","0","0","0","-66,97","0","0","0","302,03"
"02.08.2025 03:29:16 UTC","25192816272","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-320,30","0","-320,30"
"04.08.2025 08:02:37 UTC","25192816272","Bestellung","028-3630763-3399520","360854V01CT","Campout Küchenzeile - 100 x 49 x 82,5 cm - Faltbare Campingküche - Outdoor Küche - Zusammenklappbare Campingschrank - Klappbar mit Stauraum - Platz","1","amazon.de","Verkäufer","Neustadt an der Aisch","","91413","","159,00","0","0","0","0","0","0","0","0","-28,86","0","0","0","130,14"
"04.08.2025 17:36:28 UTC","25192816272","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-509,86","0","-509,86"
"05.08.2025 00:12:26 UTC","25192816272","Bestellung","304-1840524-7573929","368300CT","Campout Aufblasbares Tunnelzelt - 455 x 270 cm - Familienzelt für 4 Personen - Abgedunkelte Schlafkabinen - TPU-Schläuche - Wasserdichtes Zelt - Bel","1","amazon.de","Verkäufer","Mannheim","Badenwürdenberg","68159","","369,00","0","0","0","0","0","0","0","0","-66,97","0","0","0","302,03"
"05.08.2025 07:52:37 UTC","25192816272","Bestellung","306-7982663-4951508","360853V08CT","Campout Campingtisch - 120 x 70 x 70 cm - Gartentisch - Klappbarer Campingtisch - Klapptisch - 3-Fach Höhenverstellbar - Inkl. Tragetasche - Bambus","1","amazon.de","Verkäufer","Nordrhein-Westfalen - Pulheim","","50259","","159,00","0","0","0","0","0","0","0","0","-28,86","0","0","0","130,14"
"05.08.2025 11:42:54 UTC","25192816272","Bestellung","303-6709857-9758766","360853V08CT","Campout Campingtisch - 120 x 70 x 70 cm - Gartentisch - Klappbarer Campingtisch - Klapptisch - 3-Fach Höhenverstellbar - Inkl. Tragetasche - Bambus","1","amazon.de","Verkäufer","Krautscheid","","54673","","159,00","0","0","0","0","0","0","0","0","-28,86","0","0","0","130,14"
"05.08.2025 21:04:09 UTC","25192816272","Bestellung","303-6182542-2701113","360853V08CT","Campout Campingtisch - 120 x 70 x 70 cm - Gartentisch - Klappbarer Campingtisch - Klapptisch - 3-Fach Höhenverstellbar - Inkl. Tragetasche - Bambus","1","amazon.de","Verkäufer","Bremen","","28207","","159,00","0","0","0","0","0","0","0","0","-28,86","0","0","0","130,14"
