"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"31 juil. 2025 22:21:04 UTC","25192885592","Commande","171-0838600-6213160","360852V01AC01CT","Campout Repose-pieds - 48 x 76 cm - Repose-pieds pour chaises de camping et de jardin - Repose-pieds clipsable - Repose-pieds - Aluminium - Gris","2","amazon.fr","Vendeur","Villiers Les Hauts","","89160","","102,78","0","0","0","0","0","0","0","0","-18,66","0","-0,38","0","83,74"
"31 juil. 2025 22:26:54 UTC","25192885592","Commande","402-2469833-2187539","340145","ProPlus Remorque Trolley Aide à la manœuvre","1","amazon.fr","Vendeur","COUSOLRE","","59149","","93,03","0","0","0","0","0","0","0","0","-13,75","0","-0,27","0","79,01"
"31 juil. 2025 23:07:36 UTC","25192885592","Commande","406-3402695-3031568","343649V03","ProPlus 343649V03 Grille de protection pour feu arrière 238 x 132 x 58 mm pour remorque, caravane, camping-car","2","amazon.fr","Vendeur","Sorcy-Saint-Martin","","55190","","54,66","0","0","0","0","0","0","0","0","-9,92","0","-0,19","0","44,55"
"31 juil. 2025 23:51:19 UTC","25192885592","Commande","407-7500167-0679551","361515","ProPlus 1 support de caravane 1000 kg, hauteur 470 mm, 605 x 280 mm, mécanisme de nivellement de manivelle","1","amazon.fr","Vendeur","montois la montagne","","57860","","53,72","10,74","0","0","0","0","0","0","0","-10,65","0","-0,22","0","53,59"
"1 août 2025 00:10:00 UTC","25192885592","Commande","408-8202197-2189931","610693CT","Campout Kit de Tapis isolants pour Renault Master à partir de 1998-04-2010 - Film Anti-Regards pour vitres - Film Isolant pour vitres - matériau 7 C","1","amazon.fr","Vendeur","Saleilles","","66280","","64,97","0","0","0","0","0","0","0","0","-10,70","0","-0,21","0","54,06"
"1 août 2025 07:19:48 UTC","25192885592","Commande","403-3840305-7548311","610682","Couverture de pare-brise avant de 06 à 2006 - Pour Fiat Ducato et camping-car XL","1","amazon.fr","Vendeur","Walshoutem","","3401","","52,56","0","0","0","0","0","0","0","0","-9,36","0","-0,19","0","43,01"
"1 août 2025 07:53:49 UTC","25192885592","Commande","404-2571261-8538718","360854V01CT","Campout Cuisine de Camping Pliable - 100 x 49 x 82,5 cm - Armoire de Camping - Espace pour Bouteille de gaz - Sac de Transport Inclus - Bambou","1","amazon.fr","Vendeur","engis","Liège","4480","","159,00","0","0","0","0","0","0","0","0","-28,86","0","-0,59","0","129,55"
"1 août 2025 08:08:44 UTC","25192885592","Commande","406-4180168-2287534","610061V02","ProPlus Housse de Protection grêle - M - 431 x 165 x 119 cm - Imperméable - Housse de Voiture pour l'extérieur - Stabilisée aux UV - Bache Anti gr","1","amazon.fr","Vendeur","Saint-Étienne-de-Tulmont","","82410","","114,95","0","0","0","0","0","0","0","0","-16,16","0","-0,33","0","98,46"
"1 août 2025 18:02:25 UTC","25192885592","Commande","402-3360185-6487536","343649","ProPlus 343649 Grille de protection pour feu arrière en fer 80 mm x 140 mm x 105 mm","1","amazon.fr","Vendeur","Salles D Angles","","16130","","26,18","0","0","0","0","0","0","0","0","-4,76","0","-0,10","0","21,32"
"1 août 2025 21:11:58 UTC","25192885592","Commande","171-7864325-3597936","361515","ProPlus Vérin stabilisateur - Support pivotant - Support relevable - Pied d'appui - Support pour Caravane - Capacité de Charge 1000 kg - 605 x 280 m","2","amazon.fr","Vendeur","Longwy","","54400","","128,92","0","0","0","0","0","0","0","0","-21,29","0","-0,42","0","107,21"
